Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Parkinson disease	57/249	1.792948e-78	2.653564e-76	0	0	9.742943e+01	1.744160e+04	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;TXN2;UQCRFS1;MAP3K5;COX8A;APAF1;NDUFC2;SDHC;COX6B1;ERN1;DDIT3;VDAC2;VDAC1;SLC25A5;SLC25A4;PRKN;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;ITPR2;UQCR11;COX7A2;UQCR10;COX5A;UQCRH;MAPK9;ATP5F1A;ATP5F1B;MFN1;CYC1;NDUFV2;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;MAPK10;UQCRQ;CYCS;MCU
KEGG_2021_Human	Prion disease	55/273	4.243499e-72	3.140189e-70	0	0	8.002183e+01	1.315085e+04	RYR2;COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;UQCRFS1;COX8A;APAF1;NDUFC2;SDHC;COX6B1;DDIT3;VDAC2;VDAC1;SLC25A5;SLC25A4;NDUFB8;ATF6B;UQCRB;NDUFB6;NDUFB5;NDUFB4;NDUFB3;CACNA1B;ATP5MC2;ATP5MC3;ITPR2;UQCR11;COX7A2;UQCR10;COX5A;UQCRH;MAPK9;ATP5F1A;ATP5F1B;CYC1;NDUFV2;ATP5PF;NDUFA8;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;SOD1;MAPK10;UQCRQ;CYCS;MCU
KEGG_2021_Human	Pathways of neurodegeneration	62/475	1.054056e-69	5.200008e-68	0	0	5.314286e+01	8.440453e+03	RYR2;COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;UQCRFS1;MAP3K5;COX8A;GPX1;APAF1;NDUFC2;SDHC;TRAF2;COX6B1;ERN1;DDIT3;VDAC2;VDAC1;SLC25A5;SLC25A4;PRKN;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;NDUFB3;CACNA1B;ATP5MC2;ATP5MC3;ITPR2;UQCR11;COX7A2;UQCR10;COX5A;UQCRH;MAPK9;ATP5F1A;ATP5F1B;MFN1;CYC1;NDUFV2;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;SOD1;MAPK10;UQCRQ;VAPB;CYCS;MCU
KEGG_2021_Human	Huntington disease	54/306	2.722072e-67	1.007167e-65	0	0	6.677211e+01	1.023428e+04	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;UQCRFS1;MAP3K5;COX8A;GPX1;APAF1;NDUFC2;SDHC;TRAF2;COX6B1;ERN1;VDAC2;VDAC1;SLC25A5;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;NDUFB3;CACNA1B;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;NRF1;COX5A;UQCRH;MAPK9;ATP5F1A;ATP5F1B;CYC1;NDUFV2;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;SOD1;MAPK10;UQCRQ;CYCS
KEGG_2021_Human	Alzheimer disease	54/369	1.344916e-62	3.980951e-61	0	0	5.324626e+01	7.585672e+03	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;UQCRFS1;MAP3K5;COX8A;APAF1;NDUFC2;SDHC;TRAF2;COX6B1;ERN1;DDIT3;VDAC2;VDAC1;SLC25A5;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;ITPR2;UQCR11;COX7A2;UQCR10;COX5A;UQCRH;MAPK9;ATP5F1A;ATP5F1B;CYC1;NDUFV2;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;MAPK10;UQCRQ;CYCS;MCU
KEGG_2021_Human	Diabetic cardiomyopathy	46/203	4.021788e-62	9.920410e-61	0	0	8.140271e+01	1.150778e+04	RYR2;COX7B;NDUFB8;NDUFA13;UQCRB;NDUFB6;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;MAPK9;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;MAPK10;UQCRQ;VDAC2;VDAC1;SLC25A5;SLC25A4
KEGG_2021_Human	Oxidative phosphorylation	41/133	2.506074e-61	5.298556e-60	0	0	1.160513e+02	1.619369e+04	COX7B;NDUFB8;NDUFA13;UQCRB;NDUFB6;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;ATP5MG;ATP5MF;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ
KEGG_2021_Human	Amyotrophic lateral sclerosis	53/364	3.277406e-61	6.063201e-60	0	0	5.211596e+01	7.258223e+03	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;UQCRFS1;MAP3K5;COX8A;GPX1;APAF1;NDUFC2;SDHC;TRAF2;COX6B1;ERN1;DDIT3;VDAC1;PRKN;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;UQCRH;ATP5F1A;ATP5F1B;CYC1;NDUFV2;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;SOD1;UQCRQ;VAPB;CYCS;MCU
KEGG_2021_Human	Non-alcoholic fatty liver disease	40/155	3.333336e-56	5.481486e-55	0	0	8.929644e+01	1.140680e+04	COX7B;NDUFB8;NDUFA13;UQCRB;NDUFB6;NDUFB5;NDUFA12;NDUFB4;NDUFB3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;MAPK9;UQCRFS1;CYC1;NDUFV2;MAP3K5;COX8A;NDUFA8;XBP1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFA1;NDUFC2;SDHC;TRAF2;COX6C;COX6B1;ERN1;MAPK10;UQCRQ;DDIT3;CYCS
KEGG_2021_Human	Thermogenesis	43/232	9.610953e-54	1.422421e-52	0	0	6.054926e+01	7.391654e+03	COX7B;NDUFB8;NDUFA13;UQCRB;NDUFB6;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;ATP5MG;ATP5MF;MAP3K5;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;ACSL4;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ
KEGG_2021_Human	Protein processing in endoplasmic reticulum	30/171	2.423201e-36	3.260307e-35	0	0	4.828075e+01	3.959407e+03	PRKN;PPP1R15A;ATF6B;HSP90B1;HERPUD1;MAPK9;GANAB;SEC61G;SEC61B;UBXN4;UGGT2;UGGT1;MAP3K5;PDIA3;MBTPS1;XBP1;HSPA5;EDEM1;SYVN1;MOGS;TRAF2;PDIA4;ERN1;MAPK10;DAD1;DDIT3;DNAJB11;CANX;ERP29;MAN1B1
KEGG_2021_Human	Retrograde endocannabinoid signaling	21/148	1.782064e-23	2.197879e-22	0	0	3.402854e+01	1.782472e+03	NDUFA8;NDUFB8;NDUFA7;NDUFA13;NDUFA6;NDUFB6;NDUFA5;NDUFB5;NDUFA4;NDUFA12;NDUFB4;NDUFB3;NDUFA2;CACNA1B;NDUFA1;CACNA1A;NDUFC2;ITPR2;MAPK10;MAPK9;NDUFV2
KEGG_2021_Human	Cardiac muscle contraction	16/87	5.451705e-20	6.206556e-19	0	0	4.420471e+01	1.960734e+03	COX8A;RYR2;COX7B;UQCRB;COX7A2;UQCR11;UQCR10;COX6A1;COX6C;COX7C;COX5A;UQCRH;COX6B1;UQCRQ;UQCRFS1;CYC1
KEGG_2021_Human	Spinocerebellar ataxia	16/143	2.153809e-16	2.276883e-15	0	0	2.464302e+01	8.889753e+02	XBP1;TWNK;CACNA1A;ITPR2;TRAF2;ERN1;MAPK10;MAPK9;OPA1;CYCS;VDAC2;VDAC1;SLC25A5;SLC25A4;MCU;MAP3K5
KEGG_2021_Human	Mitophagy	8/68	5.939979e-09	5.860780e-08	0	0	2.424832e+01	4.593010e+02	PRKN;MAPK10;BCL2L13;MAPK9;FIS1;CALCOCO2;FUNDC1;MFN1
KEGG_2021_Human	Apoptosis	10/142	1.104912e-08	1.022044e-07	0	0	1.398400e+01	2.561997e+02	ERN1;MAPK10;MAPK9;ENDOG;APAF1;DDIT3;CYCS;ITPR2;TRAF2;MAP3K5
KEGG_2021_Human	Lipid and atherosclerosis	11/215	5.493514e-08	4.782588e-07	0	0	1.001059e+01	1.673482e+02	ERN1;MAPK10;MAPK9;XBP1;HSPA5;APAF1;DDIT3;CYCS;TRAF2;HSP90B1;MAP3K5
KEGG_2021_Human	Thyroid hormone synthesis	7/75	2.795337e-07	2.298388e-06	0	0	1.854345e+01	2.798233e+02	GPX1;ATF6B;HSPA5;CANX;ITPR2;PDIA4;HSP90B1
KEGG_2021_Human	NOD-like receptor signaling pathway	9/181	1.190845e-06	9.276057e-06	0	0	9.549903e+00	1.302688e+02	MAPK10;MAPK9;MFN1;ITPR2;VDAC2;TRAF2;VDAC1;MCU;TXN2
KEGG_2021_Human	Calcium signaling pathway	9/240	1.190766e-05	8.811670e-05	0	0	7.089466e+00	8.038270e+01	RYR2;CACNA1B;CACNA1A;ITPR2;VDAC2;VDAC1;SLC25A5;SLC25A4;MCU
KEGG_2021_Human	Necroptosis	7/159	4.193670e-05	2.955539e-04	0	0	8.260586e+00	8.326133e+01	MAPK10;MAPK9;VDAC2;TRAF2;VDAC1;SLC25A5;SLC25A4
