Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Protein processing in endoplasmic reticulum	16/171	7.519236e-24	1.022616e-21	0	0	9.293607e+01	4.948342e+03	PRKN;MBTPS1;ATF6B;EDEM1;SYVN1;MOGS;TRAF2;ERN1;MAPK10;MAPK9;GANAB;MAN1B1;UGGT2;UBXN4;UGGT1;MAP3K5
KEGG_2021_Human	Spinocerebellar ataxia	10/143	1.011351e-13	6.877186e-12	0	0	5.324651e+01	1.593259e+03	ERN1;MAPK10;MAPK9;OPA1;TWNK;CACNA1A;ITPR2;TRAF2;MCU;MAP3K5
KEGG_2021_Human	Pathways of neurodegeneration	13/475	2.048470e-12	9.286398e-11	0	0	2.194805e+01	5.907083e+02	PRKN;RYR2;APAF1;CACNA1B;ITPR2;TRAF2;ERN1;MAPK10;MAPK9;VAPB;MFN1;MCU;MAP3K5
KEGG_2021_Human	Parkinson disease	9/249	7.399817e-10	2.515938e-08	0	0	2.550259e+01	5.361765e+02	ERN1;MAPK10;PRKN;MAPK9;APAF1;MFN1;ITPR2;MCU;MAP3K5
KEGG_2021_Human	Mitophagy	6/68	3.123652e-09	8.496335e-08	0	0	6.018145e+01	1.178609e+03	MAPK10;PRKN;BCL2L13;MAPK9;CALCOCO2;MFN1
KEGG_2021_Human	Apoptosis	7/142	8.228320e-09	1.865086e-07	0	0	3.316344e+01	6.173601e+02	ERN1;MAPK10;MAPK9;APAF1;ITPR2;TRAF2;MAP3K5
KEGG_2021_Human	Prion disease	8/273	3.730852e-08	7.248513e-07	0	0	1.982088e+01	3.390172e+02	MAPK10;RYR2;MAPK9;APAF1;ATF6B;CACNA1B;ITPR2;MCU
KEGG_2021_Human	Huntington disease	8/306	8.992782e-08	1.528773e-06	0	0	1.759642e+01	2.854889e+02	ERN1;MAPK10;MAPK9;APAF1;CACNA1B;TRAF2;NRF1;MAP3K5
KEGG_2021_Human	Dopaminergic synapse	6/132	1.711250e-07	2.585889e-06	0	0	2.951786e+01	4.599139e+02	MAPK10;MAPK9;ATF6B;CACNA1B;CACNA1A;ITPR2
KEGG_2021_Human	Alzheimer disease	8/369	3.752996e-07	5.104074e-06	0	0	1.447904e+01	2.142252e+02	ERN1;MAPK10;MAPK9;APAF1;ITPR2;TRAF2;MCU;MAP3K5
KEGG_2021_Human	NOD-like receptor signaling pathway	6/181	1.097404e-06	1.356790e-05	0	0	2.120036e+01	2.909232e+02	MAPK10;MAPK9;MFN1;ITPR2;TRAF2;MCU
KEGG_2021_Human	Type II diabetes mellitus	4/46	1.706823e-06	1.934400e-05	0	0	5.579832e+01	7.410506e+02	MAPK10;MAPK9;CACNA1B;CACNA1A
KEGG_2021_Human	TNF signaling pathway	5/112	2.180234e-06	2.280860e-05	0	0	2.811526e+01	3.665128e+02	MAPK10;MAPK9;ATF6B;TRAF2;MAP3K5
KEGG_2021_Human	Lipid and atherosclerosis	6/215	2.981300e-06	2.896120e-05	0	0	1.772099e+01	2.254669e+02	ERN1;MAPK10;MAPK9;APAF1;TRAF2;MAP3K5
KEGG_2021_Human	Amyotrophic lateral sclerosis	7/364	4.846886e-06	4.394510e-05	0	0	1.240038e+01	1.517456e+02	ERN1;PRKN;APAF1;VAPB;TRAF2;MCU;MAP3K5
KEGG_2021_Human	Retrograde endocannabinoid signaling	5/148	8.547990e-06	7.011110e-05	0	0	2.099915e+01	2.450562e+02	MAPK10;MAPK9;CACNA1B;CACNA1A;ITPR2
KEGG_2021_Human	Adipocytokine signaling pathway	4/69	8.763887e-06	7.011110e-05	0	0	3.601267e+01	4.193629e+02	MAPK10;MAPK9;TRAF2;ACSL4
KEGG_2021_Human	Non-alcoholic fatty liver disease	5/155	1.069995e-05	8.084405e-05	0	0	2.001212e+01	2.290442e+02	ERN1;MAPK10;MAPK9;TRAF2;MAP3K5
KEGG_2021_Human	MAPK signaling pathway	6/294	1.781849e-05	1.275429e-04	0	0	1.280859e+01	1.400655e+02	MAPK10;MAPK9;CACNA1B;CACNA1A;TRAF2;MAP3K5
KEGG_2021_Human	Sphingolipid signaling pathway	4/119	7.521199e-05	4.870872e-04	0	0	2.030384e+01	1.927890e+02	MAPK10;MAPK9;TRAF2;MAP3K5
KEGG_2021_Human	Growth hormone synthesis, secretion and action	4/119	7.521199e-05	4.870872e-04	0	0	2.030384e+01	1.927890e+02	MAPK10;MAPK9;ATF6B;ITPR2
KEGG_2021_Human	Calcium signaling pathway	5/240	8.670580e-05	5.359995e-04	0	0	1.271889e+01	1.189597e+02	RYR2;CACNA1B;CACNA1A;ITPR2;MCU
KEGG_2021_Human	Shigellosis	5/246	9.739287e-05	5.758883e-04	0	0	1.239847e+01	1.145216e+02	MAPK10;MAPK9;CALCOCO2;ITPR2;TRAF2
KEGG_2021_Human	N-Glycan biosynthesis	3/50	1.166055e-04	6.607648e-04	0	0	3.631915e+01	3.289321e+02	GANAB;MOGS;MAN1B1
KEGG_2021_Human	Hepatitis B	4/162	2.470102e-04	1.343735e-03	0	0	1.474609e+01	1.224822e+02	MAPK10;MAPK9;APAF1;ATF6B
KEGG_2021_Human	RIG-I-like receptor signaling pathway	3/70	3.172440e-04	1.659430e-03	0	0	2.545203e+01	2.050374e+02	MAPK10;MAPK9;TRAF2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	4/193	4.799914e-04	2.417735e-03	0	0	1.230812e+01	9.405551e+01	MAPK10;MAPK9;ITPR2;TRAF2
KEGG_2021_Human	Epstein-Barr virus infection	4/202	5.697923e-04	2.767563e-03	0	0	1.174332e+01	8.772537e+01	MAPK10;MAPK9;APAF1;TRAF2
KEGG_2021_Human	Human immunodeficiency virus 1 infection	4/212	6.829362e-04	3.202735e-03	0	0	1.117308e+01	8.144178e+01	MAPK10;MAPK9;ITPR2;TRAF2
KEGG_2021_Human	GnRH signaling pathway	3/93	7.297627e-04	3.302764e-03	0	0	1.892571e+01	1.366965e+02	MAPK10;MAPK9;ITPR2
KEGG_2021_Human	IL-17 signaling pathway	3/94	7.528358e-04	3.302764e-03	0	0	1.871680e+01	1.346049e+02	MAPK10;MAPK9;TRAF2
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	3/98	8.497665e-04	3.611507e-03	0	0	1.792511e+01	1.267404e+02	MAPK10;MAPK9;ITPR2
KEGG_2021_Human	C-type lectin receptor signaling pathway	3/104	1.009475e-03	4.160260e-03	0	0	1.685516e+01	1.162724e+02	MAPK10;MAPK9;ITPR2
KEGG_2021_Human	Serotonergic synapse	3/113	1.282736e-03	4.984347e-03	0	0	1.546909e+01	1.030050e+02	CACNA1B;CACNA1A;ITPR2
KEGG_2021_Human	Cholinergic synapse	3/113	1.282736e-03	4.984347e-03	0	0	1.546909e+01	1.030050e+02	CACNA1B;CACNA1A;ITPR2
