Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Protein processing in endoplasmic reticulum,16/171,7.519235669938352e-24,1.022616051111616e-21,0,0,92.93607038123169,4948.341824142492,PRKN;MBTPS1;ATF6B;EDEM1;SYVN1;MOGS;TRAF2;ERN1;MAPK10;MAPK9;GANAB;MAN1B1;UGGT2;UBXN4;UGGT1;MAP3K5
KEGG_2021_Human,Spinocerebellar ataxia,10/143,1.0113509197449886e-13,6.877186254265923e-12,0,0,53.24650912996778,1593.259043935984,ERN1;MAPK10;MAPK9;OPA1;TWNK;CACNA1A;ITPR2;TRAF2;MCU;MAP3K5
KEGG_2021_Human,Pathways of neurodegeneration,13/475,2.04847022539173e-12,9.286398355109176e-11,0,0,21.948051948051948,590.7082862018157,PRKN;RYR2;APAF1;CACNA1B;ITPR2;TRAF2;ERN1;MAPK10;MAPK9;VAPB;MFN1;MCU;MAP3K5
KEGG_2021_Human,Parkinson disease,9/249,7.399816654102202e-10,2.5159376623947492e-08,0,0,25.502586206896552,536.1764639531757,ERN1;MAPK10;PRKN;MAPK9;APAF1;MFN1;ITPR2;MCU;MAP3K5
KEGG_2021_Human,Mitophagy,6/68,3.1236524886275347e-09,8.496334769066895e-08,0,0,60.18145161290322,1178.6093671052597,MAPK10;PRKN;BCL2L13;MAPK9;CALCOCO2;MFN1
KEGG_2021_Human,Apoptosis,7/142,8.228320487952798e-09,1.865085977269301e-07,0,0,33.163440860215054,617.3601325882435,ERN1;MAPK10;MAPK9;APAF1;ITPR2;TRAF2;MAP3K5
KEGG_2021_Human,Prion disease,8/273,3.730852198626201e-08,7.248512843045191e-07,0,0,19.820880503144654,339.01721353111594,MAPK10;RYR2;MAPK9;APAF1;ATF6B;CACNA1B;ITPR2;MCU
KEGG_2021_Human,Huntington disease,8/306,8.992781599273324e-08,1.528772871876465e-06,0,0,17.59642058165548,285.48887677132075,ERN1;MAPK10;MAPK9;APAF1;CACNA1B;TRAF2;NRF1;MAP3K5
KEGG_2021_Human,Dopaminergic synapse,6/132,1.7112501335199345e-07,2.585889090652345e-06,0,0,29.517857142857142,459.91393836950704,MAPK10;MAPK9;ATF6B;CACNA1B;CACNA1A;ITPR2
KEGG_2021_Human,Alzheimer disease,8/369,3.7529957984899874e-07,5.104074285946383e-06,0,0,14.47903970452447,214.22522921321337,ERN1;MAPK10;MAPK9;APAF1;ITPR2;TRAF2;MCU;MAP3K5
KEGG_2021_Human,NOD-like receptor signaling pathway,6/181,1.0974035371908023e-06,1.3567898277995374e-05,0,0,21.200357142857143,290.92324900406663,MAPK10;MAPK9;MFN1;ITPR2;TRAF2;MCU
KEGG_2021_Human,Type II diabetes mellitus,4/46,1.706823134277905e-06,1.9343995521816256e-05,0,0,55.79831932773109,741.0506008188355,MAPK10;MAPK9;CACNA1B;CACNA1A
KEGG_2021_Human,TNF signaling pathway,5/112,2.180234082544675e-06,2.2808602709698135e-05,0,0,28.115264797507788,366.51279359583793,MAPK10;MAPK9;ATF6B;TRAF2;MAP3K5
KEGG_2021_Human,Lipid and atherosclerosis,6/215,2.9813002793965745e-06,2.896120271413815e-05,0,0,17.720992822966508,225.46686786212788,ERN1;MAPK10;MAPK9;APAF1;TRAF2;MAP3K5
