Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	73/158	1.192861e-74	2.791295e-72	0	0	3.904932e+01	6.646777e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;MRPS21;RPL13A;RPS3A;MRPS6;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS27L;MRPL13;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPS26;RPS28;RPS27;RPL27A;RPS20;RPL22L1;FAU;RPS24;RPS23
KEGG_2021_Human	Coronavirus disease	72/232	1.082805e-58	1.266882e-56	0	0	2.033411e+01	2.714002e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;JUN;RPL35A;RPS26;RPS28;RPS27;RPL27A;RPS20;RPL22L1;FAU;RPS24;RPS23
KEGG_2021_Human	Parkinson disease	64/249	2.071394e-46	1.615687e-44	0	0	1.532556e+01	1.612107e+03	COX7B;NDUFA13;NDUFA12;PARK7;COX6A1;COX7C;TUBA1B;UCHL1;TUBA1A;UQCRFS1;COX8A;DUSP1;NDUFC2;COX6B1;COX7A2L;PSMA4;PSMA1;VDAC2;SLC25A5;UBA52;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;ATP5MC2;ATP5MC3;UQCR11;COX7A2;TXN;UQCR10;COX5A;PSMA7;UQCRH;PSMB6;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB2;UBB;PSMB3;PSMB1;NDUFV3;RPS27A;NDUFV2;ATP5PF;NDUFA8;NDUFA6;HSPA5;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1E;UQCRQ;NDUFAB1;ATP5PO;CYCS;CALM1;CALM2
KEGG_2021_Human	Prion disease	58/273	4.405540e-37	2.577241e-35	0	0	1.177028e+01	9.853232e+02	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;TUBA1B;TUBA1A;UQCRFS1;COX8A;NDUFC2;COX6B1;COX7A2L;PSMA4;PSMA1;CSNK2B;VDAC2;SLC25A5;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;PSMA7;UQCRH;PSMB6;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;NDUFV3;NDUFV2;EGR1;ATP5PF;NDUFA8;NDUFA6;HSPA5;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1E;SOD1;UQCRQ;NDUFAB1;ATP5PO;CYCS
KEGG_2021_Human	Oxidative phosphorylation	43/133	4.521749e-36	2.116178e-34	0	0	2.029249e+01	1.651487e+03	NDUFA13;COX7B;NDUFB8;UQCRB;NDUFB6;NDUFA12;NDUFB5;NDUFB4;ATP5MC2;ATP5MC3;COX7A2;UQCR11;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;NDUFV3;NDUFV2;ATP5MG;ATP5MF;ATP6V1F;COX8A;ATP5PF;NDUFA8;ATP6V1G1;ATP6V0B;NDUFA6;ATP5PB;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;ATP5F1E;COX6B1;COX7A2L;UQCRQ;NDUFAB1;ATP5PO
KEGG_2021_Human	Amyotrophic lateral sclerosis	64/364	1.184204e-35	4.618395e-34	0	0	9.394495e+00	7.555185e+02	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;ACTB;ACTG1;TUBA1B;TUBA1A;UQCRFS1;COX8A;GABARAPL2;SEC13;GPX1;NDUFC2;COX6B1;COX7A2L;PSMA4;PSMA1;PFN1;SRSF7;PFN2;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;DCTN3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;GABARAP;PSMA7;UQCRH;PSMB6;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;NDUFV3;NDUFV2;HNRNPA1;ATP5PF;NDUFA8;NDUFA6;HSPA5;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1E;SOD1;UQCRQ;NDUFAB1;ATP5PO;CYCS
KEGG_2021_Human	Huntington disease	59/306	3.244408e-35	1.084559e-33	0	0	1.042833e+01	8.281509e+02	COX7B;NDUFA13;NDUFA12;CLTB;COX6A1;COX7C;TUBA1B;TUBA1A;UQCRFS1;COX8A;GPX1;NDUFC2;COX6B1;COX7A2L;PSMA4;PSMA1;VDAC2;SLC25A5;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;DCTN3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;PSMA7;UQCRH;PSMB6;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;POLR2G;NDUFV3;NDUFV2;ATP5PF;NDUFA8;NDUFA6;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1E;SOD1;UQCRQ;NDUFAB1;ATP5PO;CYCS
KEGG_2021_Human	Pathways of neurodegeneration	68/475	4.113078e-32	1.203075e-30	0	0	7.384225e+00	5.336473e+02	COX7B;NDUFA13;NDUFA12;PARK7;COX6A1;COX7C;TUBA1B;UCHL1;TUBA1A;UQCRFS1;COX8A;GABARAPL2;GPX1;NDUFC2;COX6B1;COX7A2L;PSMA4;PSMA1;CSNK2B;VDAC2;SLC25A5;UBA52;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;DCTN3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;GABARAP;PSMA7;UQCRH;PSMB6;PSMB4;ATP5F1A;PSMB5;ATP5F1B;PSMB2;UBB;PSMB3;PSMB1;NDUFV3;RPS27A;NDUFV2;NDUFA8;ATP5PF;NDUFA6;HSPA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;TUBB4B;COX6C;ATP5F1E;SOD1;UQCRQ;NDUFAB1;ATP5PO;CYCS;CALM1;CALM2
KEGG_2021_Human	Alzheimer disease	60/369	1.750654e-31	4.551701e-30	0	0	8.469109e+00	5.997835e+02	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;TUBA1B;TUBA1A;UQCRFS1;COX8A;PSENEN;NDUFC2;COX6B1;COX7A2L;PSMA4;PSMA1;CSNK2B;VDAC2;SLC25A5;GAPDH;SLC25A4;NDUFB8;UQCRB;NDUFB6;NDUFB5;NDUFB4;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;PSMA7;RTN4;UQCRH;PSMB6;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;NDUFV3;NDUFV2;ATP5PF;NDUFA8;NDUFA6;ATP5PB;NDUFA4;NDUFA2;NDUFA1;COX6C;TUBB4B;ATP5F1E;UQCRQ;NDUFAB1;ATP5PO;CYCS;CALM1;CALM2
KEGG_2021_Human	Diabetic cardiomyopathy	43/203	1.269668e-27	2.971024e-26	0	0	1.137336e+01	7.043640e+02	COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB6;NDUFA12;NDUFB5;NDUFB4;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;MPC2;UQCRFS1;NDUFV3;NDUFV2;COX8A;ATP5PF;NDUFA8;NDUFA6;ATP5PB;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;ATP5F1E;COX6B1;COX7A2L;UQCRQ;NDUFAB1;ATP5PO;VDAC2;SLC25A5;GAPDH;SLC25A4
