Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Parkinson disease	48/249	1.950212e-72	1.287140e-70	0	0	1.519114e+02	2.508334e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;TXN2;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ;DDIT3;CYCS;VDAC2;VDAC1;SLC25A5;SLC25A4
KEGG_2021_Human	Oxidative phosphorylation	41/133	2.410392e-70	7.954292e-69	0	0	2.325483e+02	3.727777e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;ATP5MG;ATP5MF;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ
KEGG_2021_Human	Prion disease	47/273	3.212411e-68	7.067305e-67	0	0	1.279957e+02	1.989166e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;SOD1;UQCRQ;DDIT3;CYCS;VDAC2;VDAC1;SLC25A5;SLC25A4
KEGG_2021_Human	Diabetic cardiomyopathy	43/203	4.864086e-66	8.025743e-65	0	0	1.475214e+02	2.218555e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ;VDAC2;VDAC1;SLC25A5;SLC25A4
KEGG_2021_Human	Huntington disease	46/306	1.133867e-63	1.496704e-62	0	0	1.054086e+02	1.527763e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;NDUFA7;GPX1;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;SOD1;UQCRQ;CYCS;VDAC2;VDAC1;SLC25A5;SLC25A4
KEGG_2021_Human	Amyotrophic lateral sclerosis	46/364	5.483240e-60	5.728524e-59	0	0	8.592891e+01	1.172529e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;XBP1;NDUFA7;GPX1;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;SOD1;UQCRQ;DDIT3;CYCS;VDAC1
KEGG_2021_Human	Pathways of neurodegeneration	49/475	6.075708e-60	5.728524e-59	0	0	7.474609e+01	1.019169e+04	COX7B;NDUFA13;NDUFA12;COX6A1;COX7C;UQCRFS1;COX8A;GPX1;NDUFC2;SDHC;COX6B1;DDIT3;VDAC2;VDAC1;SLC25A5;SLC25A4;NDUFB8;NDUFB6;UQCRB;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5A;UQCRH;ATP5F1A;ATP5F1B;CYC1;NDUFV2;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;HSPA5;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;COX6C;ATP5F1E;SOD1;UQCRQ;CYCS
KEGG_2021_Human	Alzheimer disease	46/369	1.062458e-59	8.765278e-59	0	0	8.457716e+01	1.148490e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;COX8A;ATP5PF;NDUFA8;XBP1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ;DDIT3;CYCS;VDAC2;VDAC1;SLC25A5;SLC25A4
KEGG_2021_Human	Thermogenesis	41/232	3.779781e-59	2.771840e-58	0	0	1.114536e+02	1.499305e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;UQCRFS1;CYC1;NDUFV2;ATP5MG;ATP5MF;COX8A;ATP5PF;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;ATP5PB;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;ATP5F1E;COX6B1;UQCRQ
KEGG_2021_Human	Non-alcoholic fatty liver disease	35/155	5.362052e-54	3.538954e-53	0	0	1.312566e+02	1.609997e+04	COX7B;NDUFB8;NDUFA13;NDUFB6;UQCRB;NDUFB5;NDUFA12;NDUFB4;NDUFB3;UQCR11;COX7A2;UQCR10;COX6A1;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA8;XBP1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFA1;NDUFC2;SDHC;COX6C;COX6B1;UQCRQ;DDIT3;CYCS
