Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Prion disease	34/273	1.197691e-44	1.712698e-42	0	0	7.370909e+01	7.454448e+03	NDUFB9;RYR2;NDUFB7;ATF6B;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;CACNA1B;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;VDAC2
KEGG_2021_Human	Pathways of neurodegeneration	37/475	3.914420e-41	2.798810e-39	0	0	4.704044e+01	4.376705e+03	NDUFB9;RYR2;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;CACNA1B;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;BAK1;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;VDAC2;SQSTM1
KEGG_2021_Human	Parkinson disease	31/249	1.863653e-40	8.883411e-39	0	0	6.836093e+01	6.253717e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;VDAC2
KEGG_2021_Human	Protein processing in endoplasmic reticulum	28/171	6.777813e-40	2.423068e-38	0	0	8.804514e+01	7.940769e+03	VCP;ATF6B;RPN2;DERL2;HSP90B1;HERPUD1;SEC61A1;GANAB;MAPK8;OS9;BAK1;UBXN4;UGGT1;PDIA3;HSPA5;EIF2AK3;SYVN1;PDIA6;PDIA4;DNAJC1;DDIT3;DNAJB11;ERP29;BAX;HYOU1;CALR;MAN1B1;P4HB
KEGG_2021_Human	Non-alcoholic fatty liver disease	26/155	3.008743e-37	8.605006e-36	0	0	8.674992e+01	7.295158e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;MAPK8;CASP3;NDUFV1;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2
KEGG_2021_Human	Oxidative phosphorylation	25/133	4.043822e-37	9.637775e-36	0	0	9.761623e+01	8.180090e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human	Amyotrophic lateral sclerosis	32/364	7.845495e-37	1.602723e-35	0	0	4.721928e+01	3.925608e+03	NDUFB9;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;CASP3;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;SQSTM1
KEGG_2021_Human	Huntington disease	30/306	7.594107e-36	1.262771e-34	0	0	5.085921e+01	4.112765e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;CACNA1B;NDUFB1;UQCR11;UQCR10;COX5B;BBC3;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;VDAC2
KEGG_2021_Human	Diabetic cardiomyopathy	27/203	7.947511e-36	1.262771e-34	0	0	6.733636e+01	5.442139e+03	NDUFB9;RYR2;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;NDUFV1;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2;VDAC2
KEGG_2021_Human	Alzheimer disease	29/369	9.555205e-32	1.366394e-30	0	0	3.885445e+01	2.775204e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;NDUFS2;VDAC2
KEGG_2021_Human	Thermogenesis	25/232	1.031860e-30	1.341418e-29	0	0	5.067581e+01	3.498972e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human	Retrograde endocannabinoid signaling	17/148	2.230549e-21	2.658071e-20	0	0	4.671048e+01	2.221179e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;NDUFA3;NDUFB2;NDUFA1;CACNA1B;NDUFB1;NDUFC1;MAPK8;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFV1
KEGG_2021_Human	Cardiac muscle contraction	7/87	2.701089e-08	2.971198e-07	0	0	2.671846e+01	4.656233e+02	RYR2;UQCRQ;COX4I1;UQCR11;UQCR10;COX5B;COX6B1
KEGG_2021_Human	Apoptosis	7/142	7.856471e-07	8.024823e-06	0	0	1.578929e+01	2.219462e+02	MAPK8;CASP3;DDIT3;EIF2AK3;BAX;BAK1;BBC3
KEGG_2021_Human	Lipid and atherosclerosis	8/215	1.038192e-06	9.897431e-06	0	0	1.190882e+01	1.640800e+02	MAPK8;HSPA5;CASP3;DDIT3;EIF2AK3;BAX;HSP90B1;HSPD1
KEGG_2021_Human	Measles	6/139	1.083983e-05	9.688096e-05	0	0	1.353042e+01	1.546836e+02	MAPK8;CASP3;EIF2AK3;BAX;BAK1;BBC3
KEGG_2021_Human	Colorectal cancer	5/86	1.458077e-05	1.226500e-04	0	0	1.828542e+01	2.036230e+02	MAPK8;CASP3;BAX;BAK1;BBC3
KEGG_2021_Human	Epstein-Barr virus infection	6/202	8.845403e-05	7.027181e-04	0	0	9.152134e+00	8.541712e+01	PDIA3;MAPK8;CASP3;BAX;CALR;BAK1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	6/212	1.153234e-04	8.679603e-04	0	0	8.703442e+00	7.892081e+01	PDIA3;MAPK8;CASP3;BAX;CALR;BAK1
KEGG_2021_Human	Thyroid hormone synthesis	4/75	1.546979e-04	1.086405e-03	0	0	1.645153e+01	1.443463e+02	HSPA5;ATF6B;HSP90B1;PDIA4
KEGG_2021_Human	Human cytomegalovirus infection	6/225	1.595420e-04	1.086405e-03	0	0	8.181403e+00	7.153167e+01	PDIA3;ATF6B;CASP3;BAX;CALR;BAK1
KEGG_2021_Human	Ferroptosis	3/41	4.322660e-04	2.809729e-03	0	0	2.275744e+01	1.762898e+02	GPX4;VDAC2;SLC7A11
KEGG_2021_Human	N-Glycan biosynthesis	3/50	7.765712e-04	4.828247e-03	0	0	1.839130e+01	1.316932e+02	GANAB;RPN2;MAN1B1
KEGG_2021_Human	Legionellosis	3/57	1.138615e-03	6.634955e-03	0	0	1.600161e+01	1.084580e+02	VCP;CASP3;HSPD1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	1.159957e-03	6.634955e-03	0	0	6.874738e+00	4.646892e+01	MAPK8;ATF6B;BAX;VDAC2;CALR
KEGG_2021_Human	Mitophagy	3/68	1.895838e-03	1.042711e-02	0	0	1.328629e+01	8.327970e+01	MAPK8;EIF2AK3;SQSTM1
KEGG_2021_Human	Salmonella infection	5/249	2.039750e-03	1.080312e-02	0	0	6.020308e+00	3.729538e+01	MAPK8;CASP3;BAX;BAK1;HSP90B1
KEGG_2021_Human	p53 signaling pathway	3/73	2.322805e-03	1.186290e-02	0	0	1.233416e+01	7.480644e+01	CASP3;BAX;BBC3
