Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Prion disease,34/273,1.1976909629133264e-44,1.7126980769660568e-42,0,0,73.70909491301475,7454.44758980847,NDUFB9;RYR2;NDUFB7;ATF6B;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;CACNA1B;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;VDAC2
KEGG_2021_Human,Pathways of neurodegeneration,37/475,3.9144195092153045e-41,2.7988099490889423e-39,0,0,47.04044357469015,4376.705046733489,NDUFB9;RYR2;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;CACNA1B;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;BAK1;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;VDAC2;SQSTM1
KEGG_2021_Human,Parkinson disease,31/249,1.8636527114546783e-40,8.883411257933965e-39,0,0,68.36093085701499,6253.717109868526,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;VDAC2
KEGG_2021_Human,Protein processing in endoplasmic reticulum,28/171,6.7778131457903294e-40,2.423068199620043e-38,0,0,88.04513668150032,7940.768796879113,VCP;ATF6B;RPN2;DERL2;HSP90B1;HERPUD1;SEC61A1;GANAB;MAPK8;OS9;BAK1;UBXN4;UGGT1;PDIA3;HSPA5;EIF2AK3;SYVN1;PDIA6;PDIA4;DNAJC1;DDIT3;DNAJB11;ERP29;BAX;HYOU1;CALR;MAN1B1;P4HB
KEGG_2021_Human,Non-alcoholic fatty liver disease,26/155,3.008743290895648e-37,8.605005811961552e-36,0,0,86.74991573980452,7295.158341288605,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;MAPK8;CASP3;NDUFV1;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2
KEGG_2021_Human,Oxidative phosphorylation,25/133,4.043821658572936e-37,9.637774952932164e-36,0,0,97.61623325453112,8180.089846008693,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human,Amyotrophic lateral sclerosis,32/364,7.845494942357933e-37,1.6027225382245488e-35,0,0,47.21927710843374,3925.6080792913945,NDUFB9;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;CASP3;NDUFV1;ATP5PD;HSPA5;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;BAX;NDUFS2;SQSTM1
KEGG_2021_Human,Huntington disease,30/306,7.594107463580727e-36,1.2627711649438915e-34,0,0,50.8592132505176,4112.765409739704,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;CACNA1B;NDUFB1;UQCR11;UQCR10;COX5B;BBC3;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;VDAC2
KEGG_2021_Human,Diabetic cardiomyopathy,27/203,7.947510828318201e-36,1.2627711649438915e-34,0,0,67.33636363636364,5442.138684192005,NDUFB9;RYR2;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;NDUFV1;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2;VDAC2
KEGG_2021_Human,Alzheimer disease,29/369,9.555205346370344e-32,1.3663943645309592e-30,0,0,38.85444596443229,2775.2035496922667,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;MAPK8;CASP3;NDUFV1;ATP5PD;NDUFA3;EIF2AK3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;DDIT3;NDUFS3;NDUFS2;VDAC2
