Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Prion disease,7/273,9.473317411680317e-12,1.0325915978731544e-09,0,0,173.01754385964912,4391.625067285311,RYR2;MAPK8;CASP3;DDIT3;EIF2AK3;CACNA1B;VDAC2
KEGG_2021_Human,Pathways of neurodegeneration,7/475,4.601958506532426e-10,2.508067386060173e-08,0,0,97.33190883190883,2092.5746190489326,RYR2;MAPK8;CASP3;DDIT3;EIF2AK3;CACNA1B;VDAC2
KEGG_2021_Human,Apoptosis,5/142,4.116124427953447e-09,1.495525208823086e-07,0,0,144.91240875912408,2798.0200567550505,MAPK8;CASP3;DDIT3;EIF2AK3;BBC3
KEGG_2021_Human,Parkinson disease,5/249,6.881389656252485e-08,1.8751786813288024e-06,0,0,80.92622950819673,1334.6240576937598,MAPK8;CASP3;DDIT3;EIF2AK3;VDAC2
KEGG_2021_Human,Huntington disease,5/306,1.920290109936015e-07,4.186232439660513e-06,0,0,65.41196013289037,1011.6364781454632,MAPK8;CASP3;CACNA1B;VDAC2;BBC3
KEGG_2021_Human,Measles,4/139,4.5418513616811916e-07,7.56655327324728e-06,0,0,98.04938271604938,1431.987794207086,MAPK8;CASP3;EIF2AK3;BBC3
KEGG_2021_Human,Alzheimer disease,5/369,4.859254395663391e-07,7.56655327324728e-06,0,0,53.917582417582416,783.8112528765078,MAPK8;CASP3;DDIT3;EIF2AK3;VDAC2
KEGG_2021_Human,Non-alcoholic fatty liver disease,4/155,7.027385894323776e-07,9.574813281016144e-06,0,0,87.58940397350993,1240.991276234565,MAPK8;CASP3;DDIT3;EIF2AK3
KEGG_2021_Human,Protein processing in endoplasmic reticulum,4/171,1.0408137405751148e-06,1.2605410858076389e-05,0,0,79.13373253493015,1090.107342489759,MAPK8;DDIT3;EIF2AK3;HERPUD1
KEGG_2021_Human,Lipid and atherosclerosis,4/215,2.592325900224317e-06,2.825635231244505e-05,0,0,62.492890995260666,803.8432480832297,MAPK8;CASP3;DDIT3;EIF2AK3
KEGG_2021_Human,MAPK signaling pathway,4/294,8.960177079061345e-06,8.186467774160821e-05,0,0,45.28735632183908,526.3622877869591,MAPK8;CASP3;DDIT3;CACNA1B
KEGG_2021_Human,Colorectal cancer,3/86,9.012625072470629e-06,8.186467774160821e-05,0,0,102.79001721170395,1194.0997245806711,MAPK8;CASP3;BBC3
KEGG_2021_Human,Diabetic cardiomyopathy,3/203,0.00011730722395270342,0.0009835759546803595,0,0,42.40714285714286,383.8149308411945,RYR2;MAPK8;VDAC2
KEGG_2021_Human,Calcium signaling pathway,3/240,0.00019241074355822623,0.0014980550748461,0,0,35.71971066907776,305.6134931663387,RYR2;CACNA1B;VDAC2
KEGG_2021_Human,Type II diabetes mellitus,2/46,0.0002301614233862017,0.001672506343273,0,0,113.32954545454544,949.3309641295106,MAPK8;CACNA1B
KEGG_2021_Human,Mitophagy,2/68,0.0005036159037475685,0.0034214395133385,0,0,75.46969696969697,573.09398703068,MAPK8;EIF2AK3
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.0005336190066674734,0.0034214395133385,0,0,73.24264705882354,551.9440230421153,MAPK8;CASP3
KEGG_2021_Human,p53 signaling pathway,2/73,0.0005802192831152235,0.0035135501033088,0,0,70.13732394366197,522.670663979618,CASP3;BBC3
KEGG_2021_Human,Pertussis,2/76,0.000628730143298291,0.0035557055809082,0,0,67.28378378378379,496.00316371132106,MAPK8;CASP3
KEGG_2021_Human,Amyotrophic lateral sclerosis,3/364,0.000652423042368482,0.0035557055809082,0,0,23.303126236644243,170.92417505980293,CASP3;DDIT3;EIF2AK3
