Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	43/158	1.622747e-32	4.121777e-30	0	0	1.586062e+01	1.160975e+03	RPL30;RPL3;RPS10-NUDT3;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS15;MRPL20;RPS15A;RPS19;RPL36;RPL35;RPL13;RPL37;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS28;RPS27;RPL37A;RPL24;RPL27;RPS20;RPL29;RPL28;RPS21;RPS23
KEGG_2021_Human	Coronavirus disease	42/232	3.719221e-24	4.723410e-22	0	0	9.319926e+00	5.027963e+02	RPL30;RPL3;RPS10-NUDT3;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS15;RPS15A;RPS19;RPL36;RPL35;RPL13;RPL37;RPS12;RPL19;RPL41;RPS9;RPL21;RPS7;PRKCB;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL37A;RPL24;RPL27;RPS20;RPL29;RPL28;RPS21;RPS23
KEGG_2021_Human	Oxidative phosphorylation	22/133	2.066583e-12	1.749707e-10	0	0	8.039466e+00	2.163028e+02	NDUFB9;NDUFB7;ATP5PD;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR10;COX5B;NDUFC2-KCTD14;ATP5F1E;COX6B1;ATP5MC1;UQCRQ;NDUFS6;NDUFS5;ATP5MF
KEGG_2021_Human	Thermogenesis	28/232	6.017447e-12	3.115706e-10	0	0	5.611167e+00	1.449721e+02	NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;ACTB;ATP5MC1;ATP5MF;SMARCE1;ATP5PD;NDUFA3;RPS6;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFAF8;UQCRQ;NDUFS6;NDUFS5;GNAS;COX20
KEGG_2021_Human	Parkinson disease	29/249	6.133280e-12	3.115706e-10	0	0	5.395870e+00	1.393067e+02	NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;PSMA7;GNAI2;ATP5MC1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5;GNAS;UBA1
KEGG_2021_Human	Diabetic cardiomyopathy	26/203	8.913137e-12	3.258240e-10	0	0	5.988200e+00	1.523607e+02	NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;ATP5MC1;ATP5PD;PARP1;PRKCB;NDUFA3;NDUFA1;CYBA;NDUFC1;ATP5F1E;PPP1CA;COX6B1;UQCRQ;NDUFS6;NDUFS5;GAPDH
KEGG_2021_Human	Huntington disease	32/306	8.979402e-12	3.258240e-10	0	0	4.797804e+00	1.220374e+02	NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;CLTA;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;PSMA7;ATP5MC1;AP2S1;POLR2G;POLR2I;POLR2L;ATP5PD;NDUFA3;GPX8;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;REST;PSMC3;UQCRQ;NDUFS6;NDUFS5
KEGG_2021_Human	Amyotrophic lateral sclerosis	35/364	1.034279e-11	3.283837e-10	0	0	4.385953e+00	1.109415e+02	NDUFB9;VCP;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;ACTB;PSMA7;ATP5MC1;HNRNPA3;ATP5PD;HSPA5;FUS;ALYREF;NDUFA3;GPX8;NDUFA1;CHCHD10;NDUFC1;TUBB4B;ATP5F1E;COX6B1;NUP93;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5;SQSTM1
KEGG_2021_Human	Prion disease	28/273	2.888722e-10	8.152615e-09	0	0	4.662228e+00	1.024060e+02	NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;PSMA7;ATP5MC1;HSPA8;ATP5PD;HSPA5;NDUFA3;NDUFA1;CYBA;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5
KEGG_2021_Human	Protein processing in endoplasmic reticulum	21/171	1.983015e-09	5.036857e-08	0	0	5.655532e+00	1.133292e+02	PDIA3;HSPA8;VCP;HSP90AB1;RPN2;HSPA5;PRKCSH;RRBP1;PDIA6;CKAP4;PDIA4;HSP90B1;GANAB;LMAN2;HYOU1;CALR;P4HB;SEC62;UBXN4;CRYAB;UBXN6
KEGG_2021_Human	Pathways of neurodegeneration	36/475	3.892659e-09	8.988503e-08	0	0	3.368726e+00	6.523259e+01	CHRM3;NDUFB9;VCP;NDUFB7;WNT2B;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;HSD17B10;PSMA7;ATP5MC1;WNT4;ATP5PD;HSPA5;PRKCB;FUS;NDUFA3;GPX8;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5;UBA1;SQSTM1
KEGG_2021_Human	Alzheimer disease	31/369	4.393666e-09	9.299926e-08	0	0	3.747253e+00	7.210877e+01	CHRM3;NDUFB9;WNT2B;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;HSD17B10;PSMA7;ATP5MC1;APOE;WNT4;ATP5PD;NDUFA3;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5;GAPDH
KEGG_2021_Human	Non-alcoholic fatty liver disease	19/155	1.205309e-08	2.354989e-07	0	0	5.624251e+00	1.025523e+02	CEBPA;NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR10;COX5B;NDUFC2-KCTD14;COX6B1;UQCRQ;NDUFS6;NDUFS5
