Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,43/158,1.622746745755647e-32,4.121776734219343e-30,0,0,15.860622205308724,1160.9753840198769,RPL30;RPL3;RPS10-NUDT3;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS15;MRPL20;RPS15A;RPS19;RPL36;RPL35;RPL13;RPL37;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS28;RPS27;RPL37A;RPL24;RPL27;RPS20;RPL29;RPL28;RPS21;RPS23
KEGG_2021_Human,Coronavirus disease,42/232,3.7192208509199224e-24,4.7234104806683015e-22,0,0,9.319926453688808,502.796313563391,RPL30;RPL3;RPS10-NUDT3;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL9;RPL6;RPS15;RPS15A;RPS19;RPL36;RPL35;RPL13;RPL37;RPS12;RPL19;RPL41;RPS9;RPL21;RPS7;PRKCB;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL37A;RPL24;RPL27;RPS20;RPL29;RPL28;RPS21;RPS23
KEGG_2021_Human,Oxidative phosphorylation,22/133,2.066582994740109e-12,1.7497069355466262e-10,0,0,8.039466244487166,216.3028410236629,NDUFB9;NDUFB7;ATP5PD;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR10;COX5B;NDUFC2-KCTD14;ATP5F1E;COX6B1;ATP5MC1;UQCRQ;NDUFS6;NDUFS5;ATP5MF
KEGG_2021_Human,Thermogenesis,28/232,6.017446649557349e-12,3.1157061720835995e-10,0,0,5.611166500498505,144.9721070160812,NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;ACTB;ATP5MC1;ATP5MF;SMARCE1;ATP5PD;NDUFA3;RPS6;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFAF8;UQCRQ;NDUFS6;NDUFS5;GNAS;COX20
KEGG_2021_Human,Parkinson disease,29/249,6.1332798663062985e-12,3.1157061720835995e-10,0,0,5.3958695232580585,139.30673614843178,NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;PSMA7;GNAI2;ATP5MC1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5;GNAS;UBA1
KEGG_2021_Human,Diabetic cardiomyopathy,26/203,8.913136972332385e-12,3.258240292236218e-10,0,0,5.988199957090753,152.3607348480264,NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;ATP5MC1;ATP5PD;PARP1;PRKCB;NDUFA3;NDUFA1;CYBA;NDUFC1;ATP5F1E;PPP1CA;COX6B1;UQCRQ;NDUFS6;NDUFS5;GAPDH
KEGG_2021_Human,Huntington disease,32/306,8.979402380178555e-12,3.258240292236218e-10,0,0,4.797803980285732,122.03736322218651,NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;CLTA;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;PSMA7;ATP5MC1;AP2S1;POLR2G;POLR2I;POLR2L;ATP5PD;NDUFA3;GPX8;NDUFA1;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;REST;PSMC3;UQCRQ;NDUFS6;NDUFS5
KEGG_2021_Human,Amyotrophic lateral sclerosis,35/364,1.0342792904078118e-11,3.283836747044802e-10,0,0,4.3859528711965226,110.94149882990364,NDUFB9;VCP;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;ACTB;PSMA7;ATP5MC1;HNRNPA3;ATP5PD;HSPA5;FUS;ALYREF;NDUFA3;GPX8;NDUFA1;CHCHD10;NDUFC1;TUBB4B;ATP5F1E;COX6B1;NUP93;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5;SQSTM1
KEGG_2021_Human,Prion disease,28/273,2.888721822516377e-10,8.152614921323996e-09,0,0,4.662227602905569,102.4060008752322,NDUFB9;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR10;COX5B;NDUFC2-KCTD14;PSMA7;ATP5MC1;HSPA8;ATP5PD;HSPA5;NDUFA3;NDUFA1;CYBA;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PSMC5;PSMC3;UQCRQ;NDUFS6;NDUFS5
KEGG_2021_Human,Protein processing in endoplasmic reticulum,21/171,1.983014579039524e-09,5.0368570307603914e-08,0,0,5.65553235908142,113.32922013437032,PDIA3;HSPA8;VCP;HSP90AB1;RPN2;HSPA5;PRKCSH;RRBP1;PDIA6;CKAP4;PDIA4;HSP90B1;GANAB;LMAN2;HYOU1;CALR;P4HB;SEC62;UBXN4;CRYAB;UBXN6
