Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oxidative phosphorylation	25/133	4.112775e-39	3.742625e-37	0	0	1.240616e+02	1.096539e+04	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human	Prion disease	27/273	2.200653e-34	7.295209e-33	0	0	6.175192e+01	4.785720e+03	NDUFB9;NDUFB7;ATF6B;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2
KEGG_2021_Human	Amyotrophic lateral sclerosis	29/364	2.693679e-34	7.295209e-33	0	0	5.142352e+01	3.974883e+03	NDUFB9;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;SQSTM1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	24/171	3.206685e-34	7.295209e-33	0	0	8.503115e+01	6.557828e+03	PDIA3;VCP;HSPA5;ATF6B;RPN2;SYVN1;DERL2;PDIA6;HSP90B1;PDIA4;SEC61A1;DNAJC1;GANAB;OS9;DNAJB11;ERP29;BAX;HYOU1;CALR;MAN1B1;P4HB;BAK1;UBXN4;UGGT1
KEGG_2021_Human	Parkinson disease	26/249	1.110856e-33	2.021758e-32	0	0	6.385027e+01	4.844970e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2
KEGG_2021_Human	Thermogenesis	25/232	1.101210e-32	1.670168e-31	0	0	6.440462e+01	4.739299e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human	Pathways of neurodegeneration	30/475	1.671088e-32	2.172414e-31	0	0	4.106671e+01	3.004821e+03	NDUFB9;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;BAK1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;SQSTM1
KEGG_2021_Human	Diabetic cardiomyopathy	24/203	2.451373e-32	2.788437e-31	0	0	6.971714e+01	5.074437e+03	NDUFB9;NDUFB7;ATP5PD;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR11;UQCR10;COX5B;ATP5F1E;COX6B1;ATP5MC1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2;NDUFV1
KEGG_2021_Human	Non-alcoholic fatty liver disease	22/155	2.058837e-31	2.081713e-30	0	0	8.190038e+01	5.786916e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR11;UQCR10;COX5B;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;NDUFV1
KEGG_2021_Human	Huntington disease	25/306	1.364048e-29	1.241284e-28	0	0	4.726604e+01	3.141514e+03	NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2
