Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Oxidative phosphorylation,25/133,4.1127750783154735e-39,3.7426253212670817e-37,0,0,124.06156156156156,10965.394581989513,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human,Prion disease,27/273,2.200652708650241e-34,7.295208524885004e-33,0,0,61.75191637630662,4785.720360624659,NDUFB9;NDUFB7;ATF6B;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2
KEGG_2021_Human,Amyotrophic lateral sclerosis,29/364,2.6936789872270235e-34,7.295208524885004e-33,0,0,51.42351876978743,3974.882971816668,NDUFB9;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;SQSTM1
KEGG_2021_Human,Protein processing in endoplasmic reticulum,24/171,3.2066850658835183e-34,7.295208524885004e-33,0,0,85.03114930182599,6557.828029952427,PDIA3;VCP;HSPA5;ATF6B;RPN2;SYVN1;DERL2;PDIA6;HSP90B1;PDIA4;SEC61A1;DNAJC1;GANAB;OS9;DNAJB11;ERP29;BAX;HYOU1;CALR;MAN1B1;P4HB;BAK1;UBXN4;UGGT1
KEGG_2021_Human,Parkinson disease,26/249,1.1108560593910094e-33,2.0217580280916368e-32,0,0,63.850274040857,4844.970103766655,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2
KEGG_2021_Human,Thermogenesis,25/232,1.101209509398568e-32,1.6701677559211612e-31,0,0,64.40462201331766,4739.298728609707,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5MF;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2
KEGG_2021_Human,Pathways of neurodegeneration,30/475,1.6710877424428728e-32,2.172414065175734e-31,0,0,41.06671348314607,3004.8205523717675,NDUFB9;VCP;NDUFB7;TOMM40;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;BAK1;NDUFV1;ATP5PD;HSPA5;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;SQSTM1
KEGG_2021_Human,Diabetic cardiomyopathy,24/203,2.4513734423981979e-32,2.7884372907279504e-31,0,0,69.7171420170538,5074.437094146119,NDUFB9;NDUFB7;ATP5PD;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR11;UQCR10;COX5B;ATP5F1E;COX6B1;ATP5MC1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2;NDUFV1
KEGG_2021_Human,Non-alcoholic fatty liver disease,22/155,2.058837291381401e-31,2.081713261285639e-30,0,0,81.90037593984962,5786.916474952053,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR11;UQCR10;COX5B;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2;NDUFV1
KEGG_2021_Human,Huntington disease,25/306,1.3640479431891476e-29,1.2412836283021243e-28,0,0,47.26603828027316,3141.514120688457,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;ATP5MC1;NDUFV1;ATP5PD;NDUFA3;NDUFA1;NDUFC1;ATP5F1E;COX6B1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;BAX;NDUFS2
KEGG_2021_Human,Alzheimer disease,24/369,5.859940347255341e-26,4.847768832729419e-25,0,0,35.868192219679635,2083.90871793246,NDUFB9;NDUFB7;ATP5PD;NDUFB10;NDUFA11;NDUFB11;COX4I1;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;UQCR11;UQCR10;COX5B;ATP5F1E;COX6B1;ATP5MC1;NDUFS6;UQCRQ;NDUFS5;NDUFS3;NDUFS2;NDUFV1
KEGG_2021_Human,Retrograde endocannabinoid signaling,15/148,3.6525469722128394e-19,2.769848120594736e-18,0,0,47.52439609662454,2017.5860763698288,NDUFB9;NDUFB7;NDUFB10;NDUFA11;NDUFB11;NDUFA3;NDUFB2;NDUFA1;NDUFB1;NDUFC1;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFV1
KEGG_2021_Human,Cardiac muscle contraction,6/87,2.87654670453231e-07,2.0135826931726167e-06,0,0,26.265873015873016,395.6035813612325,UQCRQ;COX4I1;UQCR11;UQCR10;COX5B;COX6B1
KEGG_2021_Human,Thyroid hormone synthesis,4/75,8.629017588247673e-05,0.0005608861432360988,0,0,19.29771733851384,180.5840790234714,HSPA5;ATF6B;HSP90B1;PDIA4
KEGG_2021_Human,N-Glycan biosynthesis,3/50,0.0005011725952207779,0.0030404470776727,0,0,21.51929318427696,163.51564073611056,GANAB;RPN2;MAN1B1
KEGG_2021_Human,Human cytomegalovirus infection,5/225,0.0006621726911399666,0.0037661071808585,0,0,7.862041467304625,57.550019110473336,PDIA3;ATF6B;BAX;CALR;BAK1
KEGG_2021_Human,Antigen processing and presentation,3/78,0.0018290477788356,0.0097907851690612,0,0,13.4664406779661,84.89190050773668,PDIA3;HSPA5;CALR
KEGG_2021_Human,Protein export,2/23,0.0022938997797408,0.0115969377753565,0,0,31.614285714285717,192.1358830518865,SEC61A1;HSPA5
KEGG_2021_Human,Epstein-Barr virus infection,4/202,0.0035674059735375,0.0170859970311535,0,0,6.8756530825496345,38.75060710562477,PDIA3;BAX;CALR;BAK1
KEGG_2021_Human,Human immunodeficiency virus 1 infection,4/212,0.0042358832319445,0.0192732687053476,0,0,6.541777188328912,35.745339596358725,PDIA3;BAX;CALR;BAK1
KEGG_2021_Human,Lipid and atherosclerosis,4/215,0.0044518503285501,0.0192913514237171,0,0,6.4477855858800455,34.91111894727882,HSPA5;BAX;HSP90B1;HSPD1
