Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,78/158,9.248000873242394e-83,2.0253121912400844e-80,0,0,44.86848341232228,8475.214800374215,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS21;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPS10-NUDT3;RPL12;RPL11;RPL36A;RPS27L;MRPL20;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS24;RPS23
KEGG_2021_Human,Coronavirus disease,76/232,5.214888786610487e-64,5.710303221338483e-62,0,0,22.22641509433962,3238.6982529570096,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPS10-NUDT3;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS24;RPS23
KEGG_2021_Human,Parkinson disease,65/249,1.3282906017618032e-47,9.696521392861165e-46,0,0,15.6864067966017,1693.1532044768296,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;PARK7;COX6A1;COX7C;TUBA1B;COX8A;NDUFC2;SDHC;NDUFC1;COX6B1;PSMA4;NDUFS6;NDUFS5;NDUFS3;SLC25A5;UBA52;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;TXN;UQCR10;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;ATP5F1B;PSMB5;PSMB2;UBB;PSMB3;PSMB1;RPS27A;ATP5PF;NDUFA8;ATP5PD;NDUFA6;HSPA5;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;TUBB4B;ATP5F1E;UQCRQ;ATP5PO;GNAS;CALM1;CALM2
KEGG_2021_Human,Oxidative phosphorylation,51/133,4.808526537887962e-47,2.63266827949366e-45,0,0,26.897658753870388,2868.665126636464,NDUFA13;COX7B;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;COX8A;NDUFC2;SDHC;NDUFC1;COX6B1;NDUFS6;NDUFS5;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1B;ATP5MG;ATP5MF;ATP5ME;ATP6V1F;ATP5PF;NDUFA8;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;ATP5F1E;UQCRQ;ATP5PO
KEGG_2021_Human,Thermogenesis,58/232,2.450665979078439e-41,1.0733916988363562e-39,0,0,14.574660633484164,1362.8711085934478,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;ACTB;ACTG1;COX8A;RPS6;NDUFC2;SDHC;NDUFC1;COX6B1;NDUFS6;NDUFS5;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1B;ATP5MG;ATP5MF;ATP5ME;COA4;ATP5PF;COA3;NDUFA8;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;ATP5F1E;NDUFAF8;UQCRQ;ATP5PO;GNAS;COX20
KEGG_2021_Human,Huntington disease,64/306,1.904789660298013e-40,6.952482260087748e-39,0,0,11.681249526120252,1068.3557757492513,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;CLTA;COX6A1;COX7C;TUBA1B;AP2M1;COX8A;GPX1;NDUFC2;SDHC;NDUFC1;COX6B1;PSMA4;NDUFS6;NDUFS5;NDUFS3;SLC25A5;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;AP2S1;POLR2G;POLR2I;POLR2L;ATP5PF;NDUFA8;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;TUBB4B;ATP5F1E;SOD1;UQCRQ;ATP5PO
KEGG_2021_Human,Prion disease,60/273,2.9868129055107345e-39,9.3444575186693e-38,0,0,12.34763124199744,1095.3165303165954,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;TUBA1B;COX8A;NDUFC2;SDHC;NDUFC1;COX6B1;PSMA4;NDUFS6;NDUFS5;CSNK2B;NDUFS3;SLC25A5;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;ATP5PF;HSPA8;NDUFA8;ATP5PD;NDUFA6;HSPA5;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;TUBB4B;ATP5F1E;SOD1;UQCRQ;ATP5PO
KEGG_2021_Human,Alzheimer disease,65/369,2.9389797126557088e-36,8.045456963395003e-35,0,0,9.435420447670902,771.9589320706406,COX7B;NDUFA13;WNT2B;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;TUBA1B;COX8A;PSENEN;NDUFC2;SDHC;NDUFC1;COX6B1;PSMA4;NDUFS6;NDUFS5;CSNK2B;NDUFS3;SLC25A5;GAPDH;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;HSD17B10;PSMA7;UQCRH;ATP5MC1;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;APOE;WNT4;ATP5PF;NDUFA8;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;TUBB4B;ATP5F1E;UQCRQ;ATP5PO;CALM1;CALM2
KEGG_2021_Human,Amyotrophic lateral sclerosis,64/364,1.1842039316122409e-35,2.8815629002564534e-34,0,0,9.394495412844035,755.5185437933112,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;ACTB;ACTG1;TUBA1B;COX8A;GPX1;NDUFC2;SDHC;NDUFC1;COX6B1;PSMA4;NDUFS6;NDUFS5;NDUFS3;PFN1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;GABARAP;PSMA7;UQCRH;ATP5MC1;ATP5F1B;PSMB5;PSMB2;PSMB3;PSMB1;HNRNPA1;ATP5PF;NDUFA8;ATP5PD;NDUFA6;HSPA5;ATP5PB;NDUFA4;NDUFA3;NDUFA1;CHCHD10;COX6C;TUBB4B;ATP5F1E;SOD1;UQCRQ;ATP5PO
KEGG_2021_Human,Diabetic cardiomyopathy,49/203,3.1855365337142993e-34,6.976325008834314e-33,0,0,13.648659544446684,1052.7111803152557,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;COX8A;NDUFC2;SDHC;NDUFC1;COX6B1;NDUFS6;NDUFS5;NDUFS3;SLC25A5;GAPDH;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB5;NDUFB4;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1B;ATP5PF;NDUFA8;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA1;COX6C;ATP5F1E;UQCRQ;ATP5PO
