names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant
TTR,101.78236,1.8606604,0.0,0.0,2.6843657,True
H3-3B,96.48467,1.5761595,0.0,0.0,2.2739174,True
FTH1,83.08284,1.3253393,0.0,0.0,1.9120605,True
TMSB4X,72.75212,1.1636775,0.0,0.0,1.6788316,True
TPT1,68.93879,1.1340208,0.0,0.0,1.6360462,True
EEF1A1,66.67724,0.78416705,0.0,0.0,1.131314,True
BEX3,66.37307,0.9750685,0.0,0.0,1.4067265,True
FOS,65.46238,1.5737478,0.0,0.0,2.2704382,True
MDK,65.21725,1.3513994,0.0,0.0,1.9496573,True
RPS2,62.826466,1.0321889,0.0,0.0,1.4891338,True
RPL10,60.019524,0.94113255,0.0,0.0,1.3577671,True
CHCHD2,57.123642,0.9635511,0.0,0.0,1.3901104,True
RPL5,56.53133,0.8207238,0.0,0.0,1.1840541,True
RPS27A,55.95058,0.9143735,0.0,0.0,1.3191621,True
RPS4X,55.849197,0.83607334,0.0,0.0,1.2061989,True
ENSG00000294516,55.49888,1.1560587,0.0,0.0,1.6678401,True
PPIA,53.63798,0.88920516,0.0,0.0,1.2828518,True
HSBP1,53.476833,1.010188,0.0,0.0,1.4573932,True
CALM1,52.411903,0.89338964,0.0,0.0,1.2888889,True
HSP90B1,51.885372,0.9135908,0.0,0.0,1.3180329,True
STEAP1B,51.245117,0.84018767,0.0,0.0,1.2121346,True
SERF2,50.98687,0.84937,0.0,0.0,1.2253817,True
EIF1,50.841026,0.8201358,0.0,0.0,1.1832058,True
RPS3A,50.781258,0.80488604,0.0,0.0,1.1612053,True
NACA,50.734077,0.8438132,0.0,0.0,1.217365,True
SLC27A4,50.558685,0.9570401,0.0,0.0,1.3807169,True
NDUFA4,49.80454,0.9521742,0.0,0.0,1.3736969,True
RPS24,49.2415,0.75616103,0.0,0.0,1.0909098,True
DYNLL1,49.15966,0.9434958,0.0,0.0,1.3611767,True
RPL15,48.930344,0.8339224,0.0,0.0,1.2030957,True
RPLP0,48.907944,0.8443094,0.0,0.0,1.2180809,True
COX7A2,48.07427,0.9035359,0.0,0.0,1.3035268,True
RPL19,48.049133,0.7589332,0.0,0.0,1.0949092,True
RPL7A,48.015507,0.7432061,0.0,0.0,1.0722198,True
RPS8,47.417377,0.71314436,0.0,0.0,1.0288498,True
CD63,46.85984,0.7630487,0.0,0.0,1.1008466,True
UBB,46.81788,0.7395243,0.0,0.0,1.0669081,True
RPL26,46.350372,0.76787907,0.0,0.0,1.1078154,True
STMN1,46.132214,0.92147416,0.0,0.0,1.3294063,True
RPL12,46.114964,0.8135793,0.0,0.0,1.1737468,True
ACTG1,46.060303,0.48308277,0.0,0.0,0.696941,True
RPLP1,45.998463,0.755387,0.0,0.0,1.0897931,True
