names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant
RPS19,89.272,0.9759945,0.0,0.0,1.4080625,True
RPL41,87.924286,1.0929422,0.0,0.0,1.5767823,True
RPL34,78.10748,0.7341097,0.0,0.0,1.0590963,True
PKM,75.838974,0.9979892,0.0,0.0,1.4397941,True
RPS10-NUDT3,73.6735,0.9685361,0.0,0.0,1.3973022,True
ENSG00000263809,73.567566,1.5663375,0.0,0.0,2.2597473,True
POLR2L,69.57283,1.0889481,0.0,0.0,1.5710201,True
COX4I1,69.04075,0.95844775,0.0,0.0,1.3827478,True
ENSG00000284803,65.921295,1.0953405,0.0,0.0,1.5802422,True
GNAS,64.080154,0.8330446,0.0,0.0,1.2018294,True
MDK,60.79429,0.9481746,0.0,0.0,1.3679267,True
HSP90AB1,60.234554,0.64978456,0.0,0.0,0.93744093,True
RPL35A,59.93842,0.6246615,0.0,0.0,0.90119606,True
COX5B,58.37504,0.90914047,0.0,0.0,1.3116125,True
RPL35,57.206226,0.614651,0.0,0.0,0.88675386,True
GAPDH,57.1028,0.6972953,0.0,0.0,1.0059844,True
ROMO1,56.90191,0.863992,0.0,0.0,1.2464769,True
RPL23,55.14812,0.5952889,0.0,0.0,0.8588202,True
ATP5F1E,54.8094,0.65062,0.0,0.0,0.9386462,True
RPS26,54.54383,0.5691157,0.0,0.0,0.8210603,True
MYL6,54.171978,0.5654215,0.0,0.0,0.81573087,True
ENSG00000285629,54.097527,1.4748579,0.0,0.0,2.1277702,True
CBLN1,53.138035,1.1585091,0.0,0.0,1.6713753,True
KRT8,52.67917,1.2523135,0.0,0.0,1.8067063,True
RPL11,52.488968,0.52476454,0.0,0.0,0.7570752,True
FLNA,52.275177,1.1574525,0.0,0.0,1.669851,True
RPL6,51.58961,0.5461898,0.0,0.0,0.7879852,True
COL9A1,51.46033,1.3599216,0.0,0.0,1.9619521,True
IGFBP5,51.29065,1.175002,0.0,0.0,1.6951696,True
RPL24,50.96141,0.50223815,0.0,0.0,0.7245764,True
UQCRQ,50.645203,0.7584025,0.0,0.0,1.0941436,True
TMSB10,50.637856,0.6251917,0.0,0.0,0.901961,True
SRSF5,49.480484,1.1119756,0.0,0.0,1.6042416,True
VIM,49.42599,0.798271,0.0,0.0,1.1516616,True
ANXA2,49.122993,1.1040899,0.0,0.0,1.5928649,True
HMGN2,49.09956,0.994699,0.0,0.0,1.4350474,True
RPL12,48.874054,0.57466507,0.0,0.0,0.82906646,True
RPS21,48.608143,0.5928248,0.0,0.0,0.8552653,True
RPS9,48.364788,0.55910534,0.0,0.0,0.80661845,True
RBP1,48.293552,0.96459436,0.0,0.0,1.3916155,True
FKBP2,48.085266,0.91794235,0.0,0.0,1.3243109,True
EIF3G,46.452904,1.1619362,0.0,0.0,1.6763196,True
H4C3,45.996475,1.1081109,0.0,0.0,1.5986662,True
RPL13,45.767372,0.4907217,0.0,0.0,0.7079618,True
RPS6,45.759357,0.57210296,0.0,0.0,0.82537013,True
RPL30,45.64556,0.5092556,0.0,0.0,0.73470044,True
EEF1G,45.204735,0.5474114,0.0,0.0,0.78974766,True
HSPA8,44.929195,0.7181295,0.0,0.0,1.0360417,True
GNG11,44.834476,1.338552,0.0,0.0,1.9311223,True
COPS9,44.7356,0.8089498,0.0,0.0,1.1670679,True
APOE,44.62046,1.0453994,0.0,0.0,1.5081925,True
HSPB1,44.607433,0.70246994,0.0,0.0,1.0134498,True
