names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant,category
UBXN4,43.46121,0.88989437,0.0,0.0,1.2838461,True,ER_stress
HSP90B1,35.81024,0.5259119,7.651834057665e-281,2.8523184140716334e-278,0.7587304,True,ER_stress
CALR,35.24114,0.6255129,4.690088268196712e-272,1.7335985089487442e-269,0.90242445,True,ER_stress
PDIA6,35.034706,0.7497588,6.66678788163723e-269,2.3648817077556065e-266,1.0816733,True,ER_stress
RPN2,29.387993,0.5853065,7.819287221050226e-190,1.5562858267199785e-187,0.84441894,True,ER_stress
PPIB,29.353281,0.45282727,2.1699390869591227e-189,4.2994117422965754e-187,0.65329176,True,ER_stress
GANAB,28.488672,0.8110823,1.6183391586876693e-178,2.929393672182544e-176,1.1701446,True,ER_stress
P4HB,25.008896,0.53220636,4.8924430026652066e-138,6.011145193162899e-136,0.76781136,True,ER_stress
PDIA3,22.887579,0.38756788,6.177784921243886e-116,5.831245655489992e-114,0.55914223,True,ER_stress
PDIA4,22.746717,0.50956094,1.5464917723463794e-114,1.4260793940970197e-112,0.73514104,True,ER_stress
HYOU1,22.162811,1.0711446,7.849527983630524e-109,6.717302293540315e-107,1.545335,True,ER_stress
HSPA5,21.912037,0.400142,1.994607671408537e-106,1.649150620950675e-104,0.5772829,True,ER_stress
VCP,21.487911,0.43606064,2.0200037975063317e-102,1.5725997705683806e-100,0.6291024,True,ER_stress
OS9,21.003496,0.47694117,6.093323922135105e-98,4.467015767317245e-96,0.6880807,True,ER_stress
ERP29,19.782305,0.37603402,4.229180628339316e-87,2.692109104459235e-85,0.54250234,True,ER_stress
BLOC1S1,18.788048,0.42519823,9.459466768435972e-79,5.2869644888999325e-77,0.61343133,True,ER_stress
BAX,17.621647,0.40970623,1.6804072279035916e-69,8.00805984036483e-68,0.591081,True,ER_stress
DNAJC1,17.512976,0.394169,1.1407274193932148e-68,5.3378761988755265e-67,0.56866556,True,ER_stress
DNAJB11,17.18463,0.4360231,3.461495346008999e-66,1.547330633023901e-64,0.6290484,True,ER_stress
SEC61A1,17.118671,0.34862936,1.077048539712657e-65,4.766102320704319e-64,0.5029658,True,ER_stress
SEC61G,16.289385,0.27561557,1.174056178143452e-59,4.610895986769453e-58,0.39762932,False,ER_stress
ATF6,14.974639,0.31386423,1.0754999901329293e-50,3.4230783332841556e-49,0.45281032,False,ER_stress
MAN1B1,14.906921,0.48082712,2.9713915046018627e-50,9.369148868918821e-49,0.6936869,True,ER_stress
RPN1,14.880004,0.30142042,4.444739023195453e-50,1.395476735719309e-48,0.43485776,False,ER_stress
MBTPS1,14.7759285,0.33422983,2.0945169885622085e-49,6.469762939529305e-48,0.48219174,False,ER_stress
ATF6B,14.570405,0.5627653,4.333142887005515e-48,1.2957010402979237e-46,0.8118987,True,ER_stress
CANX,14.067418,0.2692102,6.022881831568691e-45,1.6703813382306461e-43,0.38838825,False,ER_stress
BCL2,13.820204,0.2475355,1.925232395758414e-43,5.1292109121641185e-42,0.35711825,False,ER_stress
DERL2,13.155787,0.35220248,1.576329611286708e-39,3.8413536998369607e-38,0.5081207,True,ER_stress
STT3A,12.644823,0.32431486,1.194933287991779e-36,2.677551482710463e-35,0.46788734,False,ER_stress
ERLEC1,12.315142,0.27272636,7.508312495628074e-35,1.6047649826661635e-33,0.39346102,False,ER_stress
STT3B,11.988664,0.27395505,4.074242837053702e-33,8.266127556764029e-32,0.39523366,False,ER_stress
DDOST,11.394435,0.21568789,4.457117506937015e-30,8.371083290355745e-29,0.31117192,False,ER_stress
UGGT1,10.880948,0.35036606,1.4207712085467763e-27,2.447866916534998e-26,0.5054713,True,ER_stress
SEC61B,9.038948,0.16089396,1.5818627249120865e-19,2.0398655472876878e-18,0.23212093,False,ER_stress
DNAJC3,8.21202,0.12967044,2.1749806972428117e-16,2.4695069940351654e-15,0.18707505,False,ER_stress
ERP44,7.0045257,0.056328196,2.4782400567993384e-12,2.349307481430511e-11,0.08126448,False,ER_stress
MOGS,5.800056,0.16529773,6.629287771001703e-09,5.235114037617251e-08,0.23847428,False,ER_stress
DERL1,5.7865934,0.12730984,7.182819774263746e-09,5.661055556186439e-08,0.1836693,False,ER_stress
DAD1,5.5351987,0.117625125,3.10875419209282e-08,2.351128987162909e-07,0.1696972,False,ER_stress
SLC7A11,5.5108237,0.35421947,3.5715783791748265e-08,2.692825618553033e-07,0.51103055,True,ER_stress
SYVN1,5.462041,0.3877787,4.706911645728971e-08,3.527657448441549e-07,0.5594463,True,ER_stress
SEL1L,5.2912674,-0.00077739015,1.2147174990789476e-07,8.844655506453664e-07,-0.0011214187,False,ER_stress
EDEM2,5.157875,0.16728087,2.4976813670574696e-07,1.7780063539632603e-06,0.24133527,False,ER_stress
EIF2S1,4.711733,-0.018424,2.4561928677105543e-06,1.6195188049635203e-05,-0.026580269,False,ER_stress
MBTPS2,4.389481,0.12313893,1.1362155114580394e-05,7.106153204463718e-05,0.1776519,False,ER_stress
XBP1,4.2572455,-0.0069785453,2.0696088773118684e-05,0.00012624298443688787,-0.010068,False,ER_stress
ASNS,3.7984161,-0.053488977,0.00014562369972150055,0.0008228936351425903,-0.0771682,False,ER_stress
BAK1,3.448823,0.38048452,0.0005630355298090352,0.002995727690114942,0.54892313,True,ER_stress
CASP9,2.6585634,0.16535887,0.00784745833228945,0.03603866174609352,0.23856246,False,ER_stress
BCL2L11,2.575493,-0.03676123,0.010009726346202912,0.04529710113827997,-0.053035293,False,ER_stress
TRIB3,2.545624,0.0041131037,0.010908260782522433,0.04910056884773145,0.0059339083,False,ER_stress
SEC24D,2.415791,-0.025656773,0.01570107345561152,0.0689455342935538,-0.037014883,False,ER_stress
DERL3,1.998024,0.34412086,0.04571405588006251,0.18466144383693908,0.49646154,False,ER_stress
MAP3K5,1.9263734,-0.04334581,0.05405777738753674,0.21551576145818827,-0.06253476,False,ER_stress
EDEM1,1.6735206,-0.004575632,0.09422486972829767,0.3543280430767634,-0.006601327,False,ER_stress
ERN1,1.6563009,-0.019292599,0.09766088691003226,0.3658415748275148,-0.027833354,False,ER_stress
SEC61A2,1.2636602,-0.16505085,0.20635203083112819,0.7051977645977783,-0.238118,False,ER_stress
TRAF2,1.2549466,0.0129934205,0.20949814550168655,0.7138972286982634,0.018745558,False,ER_stress
CREBZF,1.0506511,-0.12936112,0.2934188821043542,0.9463109550446342,-0.18662871,False,ER_stress
EIF2A,0.23090595,-0.25791878,0.8173878623854482,0.9999946681538427,-0.37209824,False,ER_stress
MAPK9,0.037245777,-0.28074494,0.9702890409162419,0.9999946681538427,-0.4050293,False,ER_stress
CASP4,0.03502562,2.1401327,0.972059311851954,0.9999946681538427,3.0875587,False,ER_stress
CTH,0.021459403,-0.3783846,0.9828791878483566,0.9999946681538427,-0.54589355,False,ER_stress
EDEM3,-1.4158772,-0.44583532,0.15681146599709778,0.5554444470404527,-0.64320445,False,ER_stress
UGGT2,-1.5007269,-0.3056156,0.13342619478430695,0.48299601710003504,-0.44091016,False,ER_stress
PPP1R15A,-2.7967005,-0.26063648,0.005162737502196473,0.0243135087549908,-0.37601906,False,ER_stress
EIF2AK3,-3.0349936,-0.640999,0.0024054072110482523,0.011824345282204786,-0.924766,True,ER_stress
BBC3,-3.6805615,-0.73965544,0.0002327208584411199,0.0012880910632177048,-1.0670973,True,ER_stress
