names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant,category
UBXN4,43.46121,0.88989437,0.0,0.0,1.2838461,True,ER_stress
HSP90B1,35.81024,0.5259119,7.651834057665e-281,2.8523184140716334e-278,0.7587304,True,ER_stress
CALR,35.24114,0.6255129,4.690088268196712e-272,1.7335985089487442e-269,0.90242445,True,ER_stress
PDIA6,35.034706,0.7497588,6.66678788163723e-269,2.3648817077556065e-266,1.0816733,True,ER_stress
RPN2,29.387993,0.5853065,7.819287221050226e-190,1.5562858267199785e-187,0.84441894,True,ER_stress
PPIB,29.353281,0.45282727,2.1699390869591227e-189,4.2994117422965754e-187,0.65329176,True,ER_stress
GANAB,28.488672,0.8110823,1.6183391586876693e-178,2.929393672182544e-176,1.1701446,True,ER_stress
P4HB,25.008896,0.53220636,4.8924430026652066e-138,6.011145193162899e-136,0.76781136,True,ER_stress
PDIA3,22.887579,0.38756788,6.177784921243886e-116,5.831245655489992e-114,0.55914223,True,ER_stress
PDIA4,22.746717,0.50956094,1.5464917723463794e-114,1.4260793940970197e-112,0.73514104,True,ER_stress
HYOU1,22.162811,1.0711446,7.849527983630524e-109,6.717302293540315e-107,1.545335,True,ER_stress
HSPA5,21.912037,0.400142,1.994607671408537e-106,1.649150620950675e-104,0.5772829,True,ER_stress
VCP,21.487911,0.43606064,2.0200037975063317e-102,1.5725997705683806e-100,0.6291024,True,ER_stress
OS9,21.003496,0.47694117,6.093323922135105e-98,4.467015767317245e-96,0.6880807,True,ER_stress
ERP29,19.782305,0.37603402,4.229180628339316e-87,2.692109104459235e-85,0.54250234,True,ER_stress
BLOC1S1,18.788048,0.42519823,9.459466768435972e-79,5.2869644888999325e-77,0.61343133,True,ER_stress
BAX,17.621647,0.40970623,1.6804072279035916e-69,8.00805984036483e-68,0.591081,True,ER_stress
DNAJC1,17.512976,0.394169,1.1407274193932148e-68,5.3378761988755265e-67,0.56866556,True,ER_stress
DNAJB11,17.18463,0.4360231,3.461495346008999e-66,1.547330633023901e-64,0.6290484,True,ER_stress
SEC61A1,17.118671,0.34862936,1.077048539712657e-65,4.766102320704319e-64,0.5029658,True,ER_stress
MAN1B1,14.906921,0.48082712,2.9713915046018627e-50,9.369148868918821e-49,0.6936869,True,ER_stress
ATF6B,14.570405,0.5627653,4.333142887005515e-48,1.2957010402979237e-46,0.8118987,True,ER_stress
DERL2,13.155787,0.35220248,1.576329611286708e-39,3.8413536998369607e-38,0.5081207,True,ER_stress
UGGT1,10.880948,0.35036606,1.4207712085467763e-27,2.447866916534998e-26,0.5054713,True,ER_stress
SLC7A11,5.5108237,0.35421947,3.5715783791748265e-08,2.692825618553033e-07,0.51103055,True,ER_stress
SYVN1,5.462041,0.3877787,4.706911645728971e-08,3.527657448441549e-07,0.5594463,True,ER_stress
BAK1,3.448823,0.38048452,0.0005630355298090352,0.002995727690114942,0.54892313,True,ER_stress
EIF2AK3,-3.0349936,-0.640999,0.0024054072110482523,0.011824345282204786,-0.924766,True,ER_stress
BBC3,-3.6805615,-0.73965544,0.0002327208584411199,0.0012880910632177048,-1.0670973,True,ER_stress
HERPUD1,-3.7136292,-0.43692464,0.0002043080678407245,0.0011377003002965068,-0.630349,True,ER_stress
CASP3,-4.2472134,-0.49826103,2.1644586502280713e-05,0.0001318640972145872,-0.7188388,True,ER_stress
DDIT3,-4.384701,-0.52569205,1.1614542118821376e-05,7.257810053110911e-05,-0.7584133,True,ER_stress
DNAJB9,-4.8036146,-0.5204292,1.558266934489068e-06,1.0432561549533659e-05,-0.7508206,True,ER_stress
MAPK8,-9.088423,-0.55335754,1.0048585185372386e-19,1.3057520471603834e-18,-0.79832625,True,ER_stress
COX4I1,69.04075,0.95844775,0.0,0.0,1.3827478,True,Mitochondria
COX5B,58.37504,0.90914047,0.0,0.0,1.3116125,True,Mitochondria
ATP5F1E,54.8094,0.65062,0.0,0.0,0.9386462,True,Mitochondria
UQCRQ,50.645203,0.7584025,0.0,0.0,1.0941436,True,Mitochondria
NDUFB2,38.44921,0.702736,0.0,0.0,1.0138338,True,Mitochondria
NDUFB10,35.224457,0.694867,8.445818183674777e-272,3.095814655225989e-269,1.0024813,True,Mitochondria
COX6B1,34.500103,0.5430072,7.993220577006794e-261,2.585219119854565e-258,0.78339374,True,Mitochondria
NDUFS6,32.649414,0.6155932,8.168611147689292e-234,2.2597769178758568e-231,0.88811314,True,Mitochondria
NDUFB7,32.59006,0.65857035,5.671724535861672e-233,1.5495433256795745e-230,0.9501162,True,Mitochondria
ATP5MC1,32.378586,0.7810546,5.495368302341296e-230,1.482940307648983e-227,1.1268235,True,Mitochondria
NDUFB11,31.419767,0.5336479,1.0868384743630443e-216,2.747452708812234e-214,0.7698911,True,Mitochondria
NDUFA3,31.333954,0.6496817,1.6095108784757444e-215,3.955080754225368e-213,0.9372925,True,Mitochondria
NDUFS5,30.306583,0.47934437,9.388170585553565e-202,2.0544680167968114e-199,0.6915477,True,Mitochondria
NDUFC1,30.276405,0.6520061,2.3442989793347676e-201,5.104769054703915e-199,0.940646,True,Mitochondria
NDUFA11,29.845667,0.55115116,9.992161463351056e-196,2.0634517095162422e-193,0.795143,True,Mitochondria
ATP5PD,28.33208,0.58560795,1.3917124727841079e-176,2.4584684669832037e-174,0.8448537,True,Mitochondria
UQCR10,27.655212,0.4469283,2.4157123979282273e-168,3.836011752175849e-166,0.64478123,True,Mitochondria
NDUFB1,26.92756,0.48588946,1.0449085854017827e-159,1.5527482782933383e-157,0.70099026,True,Mitochondria
NDUFA1,25.368946,0.48784357,5.5540240981733226e-142,7.122428687529205e-140,0.7038095,True,Mitochondria
GPX4,24.927092,0.4260768,3.7842890016740407e-137,4.610962216831976e-135,0.6146988,True,Mitochondria
ATP5IF1,24.759407,0.3955337,2.4552934945155318e-135,2.9188794499935184e-133,0.57063437,True,Mitochondria
ATP5MF,24.736652,0.44382823,4.315852614399943e-135,5.089466302868522e-133,0.64030874,True,Mitochondria
NDUFB9,22.115637,0.41108498,2.2353032353669637e-108,1.9091659827349758e-106,0.5930702,True,Mitochondria
SQSTM1,22.090424,0.46033052,3.9071041296729976e-108,3.330579113329389e-106,0.6641166,True,Mitochondria
NDUFS3,20.759745,0.4577968,1.0009883178478455e-95,7.113000347149488e-94,0.6604611,True,Mitochondria
UQCR11,20.414902,0.35086244,1.2327837887584613e-92,8.3551968770924e-91,0.50618744,True,Mitochondria
NDUFV1,18.459091,0.4008089,4.4070065902527524e-76,2.363982827790946e-74,0.5782449,True,Mitochondria
HSPD1,17.773952,0.3492846,1.1247993974316396e-70,5.4488354950912e-69,0.50391114,True,Mitochondria
NDUFS2,17.276358,0.39363676,7.088581072577113e-67,3.221057097710505e-65,0.56789774,True,Mitochondria
TOMM22,15.96867,0.39869946,2.1124111382997472e-57,7.907788623766185e-56,0.57520175,True,Mitochondria
TOMM40,15.947271,0.51305187,2.976206292762272e-57,1.1066053253883456e-55,0.7401773,True,Mitochondria
LONP1,11.604754,0.41680074,3.8980408390437523e-31,7.559930526727447e-30,0.6013164,True,Mitochondria
ATF5,9.690478,0.5388629,3.3097539828155724e-22,4.732862115998887e-21,0.77741474,True,Mitochondria
LETM1,8.161197,0.4212091,3.3172175228221525e-16,3.742270581145299e-15,0.60767615,True,Mitochondria
MTIF2,6.766966,0.45632824,1.3151104034526451e-11,1.202378844445397e-10,0.6583425,True,Mitochondria
