names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant,category
HSP90B1,79.27807,1.4395027,0.0,0.0,2.0767634,True,ER_stress
HSPA5,58.823513,1.3262289,0.0,0.0,1.9133437,True,ER_stress
PPIB,54.812767,0.99295974,0.0,0.0,1.432538,True,ER_stress
PDIA3,54.478596,1.0911347,0.0,0.0,1.5741746,True,ER_stress
SEC61B,50.869926,1.1040558,0.0,0.0,1.5928158,True,ER_stress
SEC61G,49.37681,0.93249124,0.0,0.0,1.3453004,True,ER_stress
CALR,44.68403,0.9166616,0.0,0.0,1.3224632,True,ER_stress
PDIA6,42.168205,1.0553896,0.0,0.0,1.5226053,True,ER_stress
ERP29,33.61885,0.724254,8.897605057029218e-248,1.0326386702862458e-245,1.0448776,True,ER_stress
DAD1,33.46117,0.75805306,1.7706302696453466e-245,2.0176928248865342e-243,1.0936394,True,ER_stress
PDIA4,30.73012,0.86546886,2.2543962345747503e-207,2.184182219691739e-205,1.2486076,True,ER_stress
RPN2,29.594334,0.6508628,1.767453444365875e-192,1.567403371045915e-190,0.9389966,True,ER_stress
CANX,29.26751,0.6243213,2.6886026830209993e-188,2.3233964168047483e-186,0.90070516,True,ER_stress
BLOC1S1,27.201263,0.79327816,6.275032221858602e-163,4.488025484726381e-161,1.1444584,True,ER_stress
DNAJB11,21.931005,0.83813494,1.314921149975361e-106,5.859992067154633e-105,1.2091731,True,ER_stress
OS9,19.96033,0.535004,1.2190507568085873e-88,4.532642991460906e-87,0.77184767,True,ER_stress
DDOST,19.743944,0.54509693,9.043416941961897e-87,3.271247842180395e-85,0.78640866,True,ER_stress
P4HB,19.666576,0.44390252,4.170050136032594e-86,1.4973373492533038e-84,0.64041585,True,ER_stress
UBXN4,19.321745,0.41317585,3.5253569355082394e-83,1.2267907449783657e-81,0.5960867,True,ER_stress
XBP1,16.525873,0.5021321,2.3895570125123997e-61,6.28254959667486e-60,0.7244235,True,ER_stress
DERL2,15.830941,0.6833061,1.9035106386520385e-56,4.672311325432397e-55,0.9858024,True,ER_stress
HYOU1,15.219923,0.80425537,2.608381887050718e-52,5.994372292780192e-51,1.1602952,True,ER_stress
VCP,14.826113,0.31902057,9.93209230135659e-50,2.183273423125792e-48,0.4602494,False,ER_stress
BAX,14.763439,0.41610295,2.5209207874865707e-49,5.505721040634772e-48,0.6003097,True,ER_stress
ERLEC1,14.522298,0.50773245,8.752594205454614e-48,1.8707075253699062e-46,0.73250306,True,ER_stress
PPP1R15A,13.79002,0.44199952,2.9267952115431222e-43,5.783378893752731e-42,0.6376704,True,ER_stress
SEC61A1,12.110573,0.25829446,9.284393725457084e-34,1.5136521216010205e-32,0.37264004,False,ER_stress
RPN1,11.695812,0.25054213,1.3390052609258047e-31,2.0907875543870232e-30,0.36145592,False,ER_stress
DNAJC1,10.352017,0.24093577,4.0976086712414794e-25,5.432110157119581e-24,0.3475969,False,ER_stress
GANAB,10.097254,0.2309575,5.681105934613481e-24,7.323831349352537e-23,0.33320135,False,ER_stress
ERP44,10.084192,0.31072742,6.489691330607027e-24,8.344214056360149e-23,0.44828483,False,ER_stress
ATF6,9.864038,0.23584945,5.960296780900941e-23,7.43743586396337e-22,0.34025896,False,ER_stress
DNAJC3,7.813675,0.2337064,5.554418288127457e-15,5.4865628300375995e-14,0.3371671,False,ER_stress
DNAJB9,5.66205,0.22273563,1.4957535432458016e-08,1.0923495824872958e-07,0.32133952,False,ER_stress
STT3B,5.581959,0.1117527,2.3782507053070496e-08,1.716883891738649e-07,0.16122508,False,ER_stress
EIF2S1,5.1512203,0.16653812,2.587969137465876e-07,1.7629612897719377e-06,0.24026377,False,ER_stress
STT3A,4.7635083,0.088144444,1.9025564642091014e-06,1.2256275429803974e-05,0.12716547,False,ER_stress
DERL3,4.06438,1.4140652,4.81602303903753e-05,0.00027851309992422366,2.0400648,True,ER_stress
DERL1,4.02271,0.13397734,5.753238742771817e-05,0.00033041122775762,0.19328848,False,ER_stress
BCL2,3.5579288,0.0065538976,0.00037379046714413667,0.0019929148470063025,0.009455168,False,ER_stress
EDEM2,3.452684,0.16274568,0.0005550391175422898,0.002905039341291666,0.23479244,False,ER_stress
HERPUD1,3.1976705,0.017250786,0.0013854251066109482,0.006912353532144869,0.024887543,False,ER_stress
SLC7A11,3.0364342,0.17822988,0.002393943507183867,0.011598193535300096,0.25713143,False,ER_stress
ATF6B,2.9848988,0.016704354,0.002836721532388004,0.013606982914244137,0.024099259,False,ER_stress
BAK1,2.0377774,0.22878076,0.041572200803353235,0.16672089939244122,0.33006096,False,ER_stress
MAN1B1,2.0246546,-0.07035285,0.04290283507766134,0.17152974816516378,-0.101497784,False,ER_stress
SEL1L,1.9671818,-0.043613046,0.049162253051678026,0.1939069998862186,-0.062920325,False,ER_stress
UGGT1,1.8362415,-0.04534646,0.06632195434573912,0.25409262989736786,-0.06542114,False,ER_stress
TRIB3,1.6554568,-0.009780532,0.09783186579139827,0.3601935589437051,-0.014110389,False,ER_stress
EIF2A,1.0256113,-0.06768487,0.3050748531383942,0.9494815318860405,-0.09764863,False,ER_stress
DDIT3,0.85377795,-0.13382904,0.39322802093595177,1.0,-0.19307451,False,ER_stress
MBTPS1,0.66167986,-0.062632196,0.5081764056956146,1.0,-0.090359114,False,ER_stress
CASP9,0.5002035,-0.15150157,0.6169317935011327,1.0,-0.21857065,False,ER_stress
MBTPS2,0.293723,-0.12777184,0.7689695825663652,1.0,-0.18433586,False,ER_stress
CTH,0.1400461,-0.18650648,0.8886235641013887,1.0,-0.269072,False,ER_stress
SYVN1,0.021779966,-0.16242175,0.9826234749277797,1.0,-0.23432511,False,ER_stress
CASP4,-0.038006227,-0.5248612,0.9696827158885941,1.0,-0.7572148,False,ER_stress
BCL2L11,-0.27964714,-0.16497655,0.779748238206737,1.0,-0.2380109,False,ER_stress
ASNS,-0.33548504,-0.25584763,0.7372592169876694,1.0,-0.36911014,False,ER_stress
EDEM1,-1.4083757,-0.4135782,0.1590198338942218,0.5496775177737714,-0.5966671,False,ER_stress
MOGS,-1.9774429,-0.2711096,0.0479915996139957,0.18971497264502696,-0.39112863,False,ER_stress
SEC24D,-2.6831152,-0.28190574,0.007293986239689023,0.03315078308937398,-0.40670407,False,ER_stress
ERN1,-2.951793,-0.45855176,0.003159347821247396,0.015060916144509369,-0.66155034,True,ER_stress
SEC61A2,-3.3421412,-0.48616084,0.0008313478341043565,0.004260476037622536,-0.7013819,True,ER_stress
TRAF2,-4.0755997,-0.8132756,4.589592808194568e-05,0.0002657336175612035,-1.1733087,True,ER_stress
BBC3,-4.1546116,-0.76244396,3.2584034154130504e-05,0.00019102243453333125,-1.0999742,True,ER_stress
EDEM3,-5.0992327,-0.6856965,3.4103345891620555e-07,2.3024862200902865e-06,-0.98925096,True,ER_stress
EIF2AK3,-5.184996,-0.83580863,2.1601932735078355e-07,1.4779633120005544e-06,-1.2058171,True,ER_stress
CASP3,-6.8150725,-0.56666565,9.42160874298593e-12,8.09095826179186e-11,-0.8175258,True,ER_stress
MAP3K5,-7.2558312,-0.7658239,3.9920262285639124e-13,3.655908092642354e-12,-1.1048504,True,ER_stress
CREBZF,-9.817702,-1.137915,9.447182083002105e-23,1.1731895852708373e-21,-1.6416644,True,ER_stress
MAPK9,-9.826428,-0.88159287,8.663672948118581e-23,1.0768022557104942e-21,-1.2718697,True,ER_stress
UGGT2,-10.472412,-0.69424176,1.1565719346238824e-25,1.5567005237566125e-24,-1.001579,True,ER_stress
ATF4,-11.555993,-0.44762883,6.88467328631631e-31,1.0584733980143629e-29,-0.64579177,True,ER_stress
MAPK8,-17.49661,-0.869439,1.52052504052529e-68,4.400119370562198e-67,-1.2543352,True,ER_stress
MAPK10,-17.779535,-0.6099878,1.0181986686845413e-70,3.0098445323090213e-69,-0.8800264,True,ER_stress
ATP5F1E,76.47836,1.2281344,0.0,0.0,1.7718233,True,Mitochondria
UQCRQ,60.2289,1.1323559,0.0,0.0,1.6336443,True,Mitochondria
COX4I1,58.643616,1.052027,0.0,0.0,1.5177541,True,Mitochondria
ATP5IF1,54.15957,1.0305701,0.0,0.0,1.4867984,True,Mitochondria
ATP5MG,50.9326,0.9439608,0.0,0.0,1.3618475,True,Mitochondria
NDUFA4,49.280083,0.9920281,0.0,0.0,1.4311941,True,Mitochondria
COX6B1,48.592896,0.9317238,0.0,0.0,1.3441933,True,Mitochondria
NDUFB2,47.292168,1.0072083,0.0,0.0,1.4530945,True,Mitochondria
UQCR10,47.048264,0.943733,0.0,0.0,1.361519,True,Mitochondria
COX8A,46.473755,0.9467185,0.0,0.0,1.3658261,True,Mitochondria
UQCRB,46.09045,0.9213636,0.0,0.0,1.3292466,True,Mitochondria
COX5B,45.79041,0.8845957,0.0,0.0,1.2762018,True,Mitochondria
ATP5PF,45.200935,0.91740435,0.0,0.0,1.3235347,True,Mitochondria
COX7C,44.68239,0.8212367,0.0,0.0,1.1847942,True,Mitochondria
COX7A2,44.309544,0.8837442,0.0,0.0,1.2749733,True,Mitochondria
ATP5MF,43.97111,0.92474335,0.0,0.0,1.3341227,True,Mitochondria
UQCR11,42.69426,0.8478751,0.0,0.0,1.2232254,True,Mitochondria
PRDX5,41.808357,0.8300515,0.0,0.0,1.1975111,True,Mitochondria
ATP5MC2,41.082867,0.8087245,0.0,0.0,1.1667428,True,Mitochondria
GPX1,40.9338,0.9054736,0.0,0.0,1.3063222,True,Mitochondria
NDUFA13,40.881927,0.7753019,0.0,0.0,1.1185241,True,Mitochondria
NDUFS5,40.550636,0.76932,0.0,0.0,1.1098943,True,Mitochondria
SOD1,40.295868,0.8214732,0.0,0.0,1.1851352,True,Mitochondria
COX7B,38.884285,0.87735116,0.0,0.0,1.2657503,True,Mitochondria
NDUFA1,38.34778,0.84439254,0.0,0.0,1.2182009,True,Mitochondria
NDUFC2,38.322243,0.81394684,0.0,0.0,1.174277,True,Mitochondria
COX6A1,38.06045,0.7733396,0.0,0.0,1.1156933,True,Mitochondria
NDUFB1,37.73314,0.7849511,0.0,0.0,1.1324451,True,Mitochondria
COX6C,37.723194,0.7480247,0.0,0.0,1.0791715,True,Mitochondria
ATP5PD,37.181034,0.8937616,1.3822700531244596e-302,2.1408637519976226e-300,1.2894253,True,Mitochondria
NDUFC1,37.17888,0.9344478,1.4977578820686424e-302,2.311592217567414e-300,1.3481233,True,Mitochondria
GPX4,37.17847,0.777245,1.520516026676925e-302,2.3385111171122805e-300,1.1213275,True,Mitochondria
NDUFB4,37.172348,0.81758934,1.9095833929027364e-302,2.926652791645288e-300,1.179532,True,Mitochondria
ATP5MC1,36.23507,1.0367086,1.707854807640453e-287,2.446960963155471e-285,1.4956543,True,Mitochondria
NDUFA3,36.092026,0.85548294,3.0250776612162774e-285,4.251152268570581e-283,1.234201,True,Mitochondria
NDUFS6,35.34862,0.75930536,1.0526623625712372e-273,1.3946508036162182e-271,1.0954461,True,Mitochondria
NDUFA11,35.348145,0.7715155,1.0705710542424204e-273,1.4141182700272404e-271,1.1130615,True,Mitochondria
NDUFB5,34.48881,1.0389311,1.1803494485419477e-260,1.4749673535104008e-258,1.4988607,True,Mitochondria
NDUFA12,34.29345,0.8454071,9.826482943951329e-258,1.2006324410351198e-255,1.2196647,True,Mitochondria
UQCRH,33.964054,0.69365907,7.565712067632912e-253,8.969957169997339e-251,1.0007385,True,Mitochondria
NDUFB11,33.539234,0.6804052,1.2922861112329047e-246,1.4802733564763162e-244,0.9816171,True,Mitochondria
HSPE1,32.98893,0.7487545,1.1707377684227457e-238,1.300405845501083e-236,1.0802244,True,Mitochondria
COX5A,32.861046,0.7124788,7.920883588275986e-237,8.623960037472959e-235,1.0278896,True,Mitochondria
ATP5PB,32.852886,0.87838775,1.0359455684236106e-236,1.1251136240168132e-234,1.2672457,True,Mitochondria
NDUFB8,32.48264,0.72850883,1.8752960531800487e-231,1.9876330649440392e-229,1.0510162,True,Mitochondria
ATP5F1B,31.811802,0.6286681,4.445458694812278e-222,4.5579940827508825e-220,0.90697646,True,Mitochondria
NDUFB7,31.726822,0.7153808,6.631079502054819e-221,6.751728309661649e-219,1.0320761,True,Mitochondria
NDUFA6,30.236893,0.7530776,7.758537715623858e-201,7.245584712514459e-199,1.0864613,True,Mitochondria
NDUFB10,29.789291,0.6579062,5.37674891325492e-195,4.836435126757279e-193,0.9491579,True,Mitochondria
ATP5ME,29.401604,0.5709659,5.238297597074661e-190,4.626742130621005e-188,0.82372963,True,Mitochondria
SLC25A5,29.013966,0.8033261,4.385903124353318e-185,3.695753540762549e-183,1.1589546,True,Mitochondria
TIMM17B,29.002354,0.72488713,6.14490705382761e-185,5.16806657112163e-183,1.045791,True,Mitochondria
NDUFB9,28.934948,0.62069684,4.340528891022342e-184,3.629705395446934e-182,0.8954763,True,Mitochondria
NDUFS3,27.819422,0.7530282,2.525754891297733e-170,1.8862114541361985e-168,1.0863901,True,Mitochondria
ATP5MC3,27.306902,0.62768066,3.51227948787182e-164,2.532641402516883e-162,0.9055518,True,Mitochondria
HSPD1,27.213802,0.6032331,4.4593671052304603e-163,3.194620871183502e-161,0.87028146,True,Mitochondria
NDUFA8,27.113764,0.7986679,6.776629007964688e-162,4.7922315682368936e-160,1.1522342,True,Mitochondria
SDHC,26.426678,0.71352834,6.765771118334092e-154,4.52966831675865e-152,1.0294038,True,Mitochondria
NDUFB3,26.033543,0.7185621,2.0665299271766186e-149,1.338709652088229e-147,1.0366659,True,Mitochondria
NDUFS8,25.974842,0.57687354,9.53136304673112e-149,6.138309443243266e-147,0.8322526,True,Mitochondria
ATP5F1A,24.281912,0.515619,3.0441573006322935e-130,1.6842805412026676e-128,0.7438809,True,Mitochondria
UQCRFS1,23.541103,0.60466844,1.548445550752051e-122,7.91975883667206e-121,0.8723522,True,Mitochondria
TXN2,23.08862,0.62906456,6.024691826006409e-118,2.977551625378853e-116,0.90754837,True,Mitochondria
