names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant,category
HSP90B1,79.27807,1.4395027,0.0,0.0,2.0767634,True,ER_stress
HSPA5,58.823513,1.3262289,0.0,0.0,1.9133437,True,ER_stress
PPIB,54.812767,0.99295974,0.0,0.0,1.432538,True,ER_stress
PDIA3,54.478596,1.0911347,0.0,0.0,1.5741746,True,ER_stress
SEC61B,50.869926,1.1040558,0.0,0.0,1.5928158,True,ER_stress
SEC61G,49.37681,0.93249124,0.0,0.0,1.3453004,True,ER_stress
CALR,44.68403,0.9166616,0.0,0.0,1.3224632,True,ER_stress
PDIA6,42.168205,1.0553896,0.0,0.0,1.5226053,True,ER_stress
ERP29,33.61885,0.724254,8.897605057029218e-248,1.0326386702862458e-245,1.0448776,True,ER_stress
DAD1,33.46117,0.75805306,1.7706302696453466e-245,2.0176928248865342e-243,1.0936394,True,ER_stress
PDIA4,30.73012,0.86546886,2.2543962345747503e-207,2.184182219691739e-205,1.2486076,True,ER_stress
RPN2,29.594334,0.6508628,1.767453444365875e-192,1.567403371045915e-190,0.9389966,True,ER_stress
CANX,29.26751,0.6243213,2.6886026830209993e-188,2.3233964168047483e-186,0.90070516,True,ER_stress
BLOC1S1,27.201263,0.79327816,6.275032221858602e-163,4.488025484726381e-161,1.1444584,True,ER_stress
DNAJB11,21.931005,0.83813494,1.314921149975361e-106,5.859992067154633e-105,1.2091731,True,ER_stress
OS9,19.96033,0.535004,1.2190507568085873e-88,4.532642991460906e-87,0.77184767,True,ER_stress
DDOST,19.743944,0.54509693,9.043416941961897e-87,3.271247842180395e-85,0.78640866,True,ER_stress
P4HB,19.666576,0.44390252,4.170050136032594e-86,1.4973373492533038e-84,0.64041585,True,ER_stress
UBXN4,19.321745,0.41317585,3.5253569355082394e-83,1.2267907449783657e-81,0.5960867,True,ER_stress
XBP1,16.525873,0.5021321,2.3895570125123997e-61,6.28254959667486e-60,0.7244235,True,ER_stress
DERL2,15.830941,0.6833061,1.9035106386520385e-56,4.672311325432397e-55,0.9858024,True,ER_stress
HYOU1,15.219923,0.80425537,2.608381887050718e-52,5.994372292780192e-51,1.1602952,True,ER_stress
BAX,14.763439,0.41610295,2.5209207874865707e-49,5.505721040634772e-48,0.6003097,True,ER_stress
ERLEC1,14.522298,0.50773245,8.752594205454614e-48,1.8707075253699062e-46,0.73250306,True,ER_stress
PPP1R15A,13.79002,0.44199952,2.9267952115431222e-43,5.783378893752731e-42,0.6376704,True,ER_stress
DERL3,4.06438,1.4140652,4.81602303903753e-05,0.00027851309992422366,2.0400648,True,ER_stress
ERN1,-2.951793,-0.45855176,0.003159347821247396,0.015060916144509369,-0.66155034,True,ER_stress
SEC61A2,-3.3421412,-0.48616084,0.0008313478341043565,0.004260476037622536,-0.7013819,True,ER_stress
TRAF2,-4.0755997,-0.8132756,4.589592808194568e-05,0.0002657336175612035,-1.1733087,True,ER_stress
BBC3,-4.1546116,-0.76244396,3.2584034154130504e-05,0.00019102243453333125,-1.0999742,True,ER_stress
EDEM3,-5.0992327,-0.6856965,3.4103345891620555e-07,2.3024862200902865e-06,-0.98925096,True,ER_stress
EIF2AK3,-5.184996,-0.83580863,2.1601932735078355e-07,1.4779633120005544e-06,-1.2058171,True,ER_stress
CASP3,-6.8150725,-0.56666565,9.42160874298593e-12,8.09095826179186e-11,-0.8175258,True,ER_stress
MAP3K5,-7.2558312,-0.7658239,3.9920262285639124e-13,3.655908092642354e-12,-1.1048504,True,ER_stress
CREBZF,-9.817702,-1.137915,9.447182083002105e-23,1.1731895852708373e-21,-1.6416644,True,ER_stress
MAPK9,-9.826428,-0.88159287,8.663672948118581e-23,1.0768022557104942e-21,-1.2718697,True,ER_stress
UGGT2,-10.472412,-0.69424176,1.1565719346238824e-25,1.5567005237566125e-24,-1.001579,True,ER_stress
ATF4,-11.555993,-0.44762883,6.88467328631631e-31,1.0584733980143629e-29,-0.64579177,True,ER_stress
MAPK8,-17.49661,-0.869439,1.52052504052529e-68,4.400119370562198e-67,-1.2543352,True,ER_stress
MAPK10,-17.779535,-0.6099878,1.0181986686845413e-70,3.0098445323090213e-69,-0.8800264,True,ER_stress
ATP5F1E,76.47836,1.2281344,0.0,0.0,1.7718233,True,Mitochondria
UQCRQ,60.2289,1.1323559,0.0,0.0,1.6336443,True,Mitochondria
COX4I1,58.643616,1.052027,0.0,0.0,1.5177541,True,Mitochondria
ATP5IF1,54.15957,1.0305701,0.0,0.0,1.4867984,True,Mitochondria
ATP5MG,50.9326,0.9439608,0.0,0.0,1.3618475,True,Mitochondria
NDUFA4,49.280083,0.9920281,0.0,0.0,1.4311941,True,Mitochondria
COX6B1,48.592896,0.9317238,0.0,0.0,1.3441933,True,Mitochondria
NDUFB2,47.292168,1.0072083,0.0,0.0,1.4530945,True,Mitochondria
UQCR10,47.048264,0.943733,0.0,0.0,1.361519,True,Mitochondria
COX8A,46.473755,0.9467185,0.0,0.0,1.3658261,True,Mitochondria
UQCRB,46.09045,0.9213636,0.0,0.0,1.3292466,True,Mitochondria
COX5B,45.79041,0.8845957,0.0,0.0,1.2762018,True,Mitochondria
ATP5PF,45.200935,0.91740435,0.0,0.0,1.3235347,True,Mitochondria
COX7C,44.68239,0.8212367,0.0,0.0,1.1847942,True,Mitochondria
COX7A2,44.309544,0.8837442,0.0,0.0,1.2749733,True,Mitochondria
ATP5MF,43.97111,0.92474335,0.0,0.0,1.3341227,True,Mitochondria
UQCR11,42.69426,0.8478751,0.0,0.0,1.2232254,True,Mitochondria
PRDX5,41.808357,0.8300515,0.0,0.0,1.1975111,True,Mitochondria
ATP5MC2,41.082867,0.8087245,0.0,0.0,1.1667428,True,Mitochondria
GPX1,40.9338,0.9054736,0.0,0.0,1.3063222,True,Mitochondria
NDUFA13,40.881927,0.7753019,0.0,0.0,1.1185241,True,Mitochondria
NDUFS5,40.550636,0.76932,0.0,0.0,1.1098943,True,Mitochondria
SOD1,40.295868,0.8214732,0.0,0.0,1.1851352,True,Mitochondria
COX7B,38.884285,0.87735116,0.0,0.0,1.2657503,True,Mitochondria
NDUFA1,38.34778,0.84439254,0.0,0.0,1.2182009,True,Mitochondria
NDUFC2,38.322243,0.81394684,0.0,0.0,1.174277,True,Mitochondria
COX6A1,38.06045,0.7733396,0.0,0.0,1.1156933,True,Mitochondria
NDUFB1,37.73314,0.7849511,0.0,0.0,1.1324451,True,Mitochondria
COX6C,37.723194,0.7480247,0.0,0.0,1.0791715,True,Mitochondria
ATP5PD,37.181034,0.8937616,1.3822700531244596e-302,2.1408637519976226e-300,1.2894253,True,Mitochondria
NDUFC1,37.17888,0.9344478,1.4977578820686424e-302,2.311592217567414e-300,1.3481233,True,Mitochondria
GPX4,37.17847,0.777245,1.520516026676925e-302,2.3385111171122805e-300,1.1213275,True,Mitochondria
NDUFB4,37.172348,0.81758934,1.9095833929027364e-302,2.926652791645288e-300,1.179532,True,Mitochondria
ATP5MC1,36.23507,1.0367086,1.707854807640453e-287,2.446960963155471e-285,1.4956543,True,Mitochondria
NDUFA3,36.092026,0.85548294,3.0250776612162774e-285,4.251152268570581e-283,1.234201,True,Mitochondria
NDUFS6,35.34862,0.75930536,1.0526623625712372e-273,1.3946508036162182e-271,1.0954461,True,Mitochondria
NDUFA11,35.348145,0.7715155,1.0705710542424204e-273,1.4141182700272404e-271,1.1130615,True,Mitochondria
NDUFB5,34.48881,1.0389311,1.1803494485419477e-260,1.4749673535104008e-258,1.4988607,True,Mitochondria
NDUFA12,34.29345,0.8454071,9.826482943951329e-258,1.2006324410351198e-255,1.2196647,True,Mitochondria
UQCRH,33.964054,0.69365907,7.565712067632912e-253,8.969957169997339e-251,1.0007385,True,Mitochondria
NDUFB11,33.539234,0.6804052,1.2922861112329047e-246,1.4802733564763162e-244,0.9816171,True,Mitochondria
HSPE1,32.98893,0.7487545,1.1707377684227457e-238,1.300405845501083e-236,1.0802244,True,Mitochondria
COX5A,32.861046,0.7124788,7.920883588275986e-237,8.623960037472959e-235,1.0278896,True,Mitochondria
ATP5PB,32.852886,0.87838775,1.0359455684236106e-236,1.1251136240168132e-234,1.2672457,True,Mitochondria
NDUFB8,32.48264,0.72850883,1.8752960531800487e-231,1.9876330649440392e-229,1.0510162,True,Mitochondria
ATP5F1B,31.811802,0.6286681,4.445458694812278e-222,4.5579940827508825e-220,0.90697646,True,Mitochondria
NDUFB7,31.726822,0.7153808,6.631079502054819e-221,6.751728309661649e-219,1.0320761,True,Mitochondria
NDUFA6,30.236893,0.7530776,7.758537715623858e-201,7.245584712514459e-199,1.0864613,True,Mitochondria
NDUFB10,29.789291,0.6579062,5.37674891325492e-195,4.836435126757279e-193,0.9491579,True,Mitochondria
ATP5ME,29.401604,0.5709659,5.238297597074661e-190,4.626742130621005e-188,0.82372963,True,Mitochondria
SLC25A5,29.013966,0.8033261,4.385903124353318e-185,3.695753540762549e-183,1.1589546,True,Mitochondria
TIMM17B,29.002354,0.72488713,6.14490705382761e-185,5.16806657112163e-183,1.045791,True,Mitochondria
NDUFB9,28.934948,0.62069684,4.340528891022342e-184,3.629705395446934e-182,0.8954763,True,Mitochondria
NDUFS3,27.819422,0.7530282,2.525754891297733e-170,1.8862114541361985e-168,1.0863901,True,Mitochondria
ATP5MC3,27.306902,0.62768066,3.51227948787182e-164,2.532641402516883e-162,0.9055518,True,Mitochondria
HSPD1,27.213802,0.6032331,4.4593671052304603e-163,3.194620871183502e-161,0.87028146,True,Mitochondria
NDUFA8,27.113764,0.7986679,6.776629007964688e-162,4.7922315682368936e-160,1.1522342,True,Mitochondria
SDHC,26.426678,0.71352834,6.765771118334092e-154,4.52966831675865e-152,1.0294038,True,Mitochondria
NDUFB3,26.033543,0.7185621,2.0665299271766186e-149,1.338709652088229e-147,1.0366659,True,Mitochondria
NDUFS8,25.974842,0.57687354,9.53136304673112e-149,6.138309443243266e-147,0.8322526,True,Mitochondria
ATP5F1A,24.281912,0.515619,3.0441573006322935e-130,1.6842805412026676e-128,0.7438809,True,Mitochondria
UQCRFS1,23.541103,0.60466844,1.548445550752051e-122,7.91975883667206e-121,0.8723522,True,Mitochondria
TXN2,23.08862,0.62906456,6.024691826006409e-118,2.977551625378853e-116,0.90754837,True,Mitochondria
NDUFB6,22.692003,0.5344877,5.3732931171961756e-114,2.5746151530826903e-112,0.7711027,True,Mitochondria
PRDX3,22.453691,0.6969115,1.1777222836237356e-111,5.470252625921186e-110,1.0054308,True,Mitochondria
ATP5F1D,22.124907,0.48657736,1.820180967651346e-108,8.228415215119436e-107,0.70198274,True,Mitochondria
CYCS,20.134197,0.58360595,3.7026481293475137e-90,1.397980091137165e-88,0.84196526,True,Mitochondria
VDAC2,19.254492,0.48140293,1.2944020663655933e-82,4.4690399757580055e-81,0.6945175,True,Mitochondria
SLC25A4,18.235392,0.5835997,2.7031003356005354e-74,8.379039560375276e-73,0.84195644,True,Mitochondria
VDAC1,18.150667,0.47421423,1.2684851493174682e-73,3.8990627377972164e-72,0.68414634,True,Mitochondria
NDUFV2,17.82299,0.45320126,4.686245669145235e-71,1.3918244564687528e-69,0.6538312,True,Mitochondria
FIS1,16.960484,0.38545084,1.61016484582103e-64,4.415505667598742e-63,0.5560879,True,Mitochondria
TOMM22,16.83036,0.6061745,1.462110949862375e-63,3.972354060571119e-62,0.87452507,True,Mitochondria
SQSTM1,16.025026,0.35613137,8.545502530341357e-58,2.128439831821036e-56,0.5137889,True,Mitochondria
NDUFS2,15.213752,0.40708026,2.8663533783416254e-52,6.580345495810789e-51,0.5872926,True,Mitochondria
FUNDC1,15.161111,0.60169965,6.39779969994333e-52,1.4565922236113214e-50,0.8680691,True,Mitochondria
NDUFS4,14.923627,0.3594485,2.313480556772188e-50,5.15244333013577e-49,0.51857454,True,Mitochondria
NDUFV1,14.906953,0.347291,2.9699980226519184e-50,6.591237791340427e-49,0.501035,True,Mitochondria
CYC1,14.514151,0.38071316,9.857109911503649e-48,2.103710997415815e-46,0.5492529,True,Mitochondria
NDUFA9,14.380849,0.5534413,6.8251888307401675e-47,1.433680782755191e-45,0.7984471,True,Mitochondria
ATP5F1C,13.69938,0.35347202,1.0239449004031043e-42,2.00085474851759e-41,0.5099522,True,Mitochondria
TIMM23,13.524338,0.5057855,1.1235071851617365e-41,2.1356347038255892e-40,0.72969425,True,Mitochondria
NDUFA7,11.563787,0.40748668,6.287337298929541e-31,9.68329196185976e-30,0.5878789,True,Mitochondria
NDUFA5,11.29772,0.3574171,1.346685528589022e-29,2.0025459655347098e-28,0.51564366,True,Mitochondria
ENDOG,10.957926,0.54055727,6.0878972042222165e-28,8.705534669210611e-27,0.7798593,True,Mitochondria
BNIP3,10.806592,0.39406243,3.203495414186117e-27,4.4904062870742683e-26,0.5685119,True,Mitochondria
MCUR1,9.058725,0.35415718,1.319843512527289e-19,1.5040061332130916e-18,0.51094085,True,Mitochondria
ATF5,6.933686,0.41650707,4.100149924656681e-12,3.588324603779323e-11,0.60089266,True,Mitochondria
MTIF2,5.4849653,0.48061287,4.135502844414121e-08,2.9458174593425025e-07,0.69337773,True,Mitochondria
CASP7,3.6725085,0.36465952,0.00024018120418584256,0.0013026646667470372,0.5260923,True,Mitochondria
SIRT4,-2.6055171,-0.8397472,0.009173567372665198,0.04110303906020693,-1.2114991,True,Mitochondria
DNM1L,-7.216134,-0.45069626,5.348641537919896e-13,4.873945446176601e-12,-0.65021735,True,Mitochondria
OPA1,-7.469413,-0.5917709,8.055337562537645e-14,7.57584088145779e-13,-0.85374504,True,Mitochondria
MICU2,-9.330154,-0.516419,1.0571702160640382e-20,1.2390271549105459e-19,-0.7450351,True,Mitochondria
MCU,-10.239585,-0.64725155,1.318005009083803e-24,1.7228460127655323e-23,-0.93378663,True,Mitochondria
NRF1,-13.32936,-0.8140436,1.5623129825291836e-40,2.9007977564174197e-39,-1.1744165,True,Mitochondria
MICU1,-13.875985,-0.67655104,8.856728017867765e-44,1.7683705791826216e-42,-0.9760567,True,Mitochondria
