0,1,2,3,4,5,6,7,8,9,10,11
TTR,MIR99AHG,VIM,TUBA1A,NAV3,GRM8,MID1,NRG1,TOP2A,HTR2C,DSCAM,MT-CO3
UQCRB,SOX2-OT,MDK,TUBB2B,MIAT,TRPM3,RNF220,EYS,TUBA1B,SULF1,GAD1,MT-CO2
IGFBP7,ERBB4,RPL34,ENSG00000198211,FTX,ENSG00000293389,NLGN1,CADPS,CENPF,TRPM3,TENM3,MT-ATP6
FTH1,FBXL7,RPL24,STMN2,DCC,ENSG00000258312,CHST11,CTNND2,UBE2C,RBM47,CACNA2D3,MT-ND4
SERF2,RFX4,RPS4X,GAP43,NRXN1,RMST,KCND2,OTX2-AS1,HMGB2,SOX2-OT,NRXN3,MT-CO1
FOLR1,RMST,RPL23,TUBB,CADM2,KIAA1217,OTX2-AS1,ADARB2,TPX2,IL1RAPL2,GATA3,MT-CYB
EEF1B2,ENSG00000286757,FTL,STMN1,SNHG14,SLC7A6,NCKAP5,SEZ6L,ENSG00000285920,NEAT1,NTM,MT-ND3
COX7C,LRRC4C,RPL11,SOX4,ANK3,PDZRN3,SLIT3,EBF1,NUCKS1,CACNB2,GRID2,MT-ND1
RPLP1,NPAS3,RPL37,TMSB10,PCDH9,TENM2,NAV2,THSD7B,MKI67,SNTG1,NRXN1,MT-ND2
RPS28,ENSG00000243620,RPL6,BASP1,PTPRD,ADGRL3,APCDD1,PCBP4,H4C3,LRP1B,OPCML,MT-ND5
RPS16,NFIA,RPL7,ACTG1,NCAM1,LINC01088,LINC01830,CNTNAP5,PTTG1,ZFYVE16,DCLK1,MT-ATP8
CIMAP3,ZNRF3,RPL29,TUBB2A,AKAP6,IL1RAPL1,PAX3,RNF220,H2AZ1,PRKCA,NRG3,MT-ND4L
CFAP276,CTNNA2,RPL7A,UCHL1,SEZ6L,ZNF521,PATJ,NCKAP5,HMGB1,TTR,ADARB2,SERPINF1
CFAP126,PARD3B,RPL13,DCX,MAML3,RBM47,SAMD5,ZMAT4,PRR11,GPM6A,FTX,ENSG00000289901
CD63,MALAT1,TPBG,MARCKSL1,LSAMP,NFIA,EYA4,GNB3,SMC4,HDAC9,ADGRB3,TYR
SLC13A4,NKAIN3,RPL35A,MAP1B,KALRN,LRP1B,CDH18,DCC,H2AX,LAMB1,FRMD5,PMEL
ATP5MG,CASC15,RPL5,MLLT11,DCLK1,COLEC12,CHRM3,CELF4,HMGN2,FGFR2,MIAT,APOE
CXCL14,MAGI1,RPS3A,OLFM1,CACNA2D1,PARD3B,AOPEP,NALF1,TUBB,CLIC6,TENM2,ABHD2
RPS17,TENM3,RPS27A,ACTB,CAMK1D,ROR2,CACHD1,AUTS2,TUBB4B,PRDM16,SNHG14,SLC16A10
CETN2,GPM6B,RPL15,PTMA,MARCHF1,WWOX,SDK2,CADM1,BIRC5,FGF13,NOVA1,CHCHD10
